Market,State,Females,Males,Population,F0-17,F0-5,F0-9,F5-17,F5-9,F10-14,F10-17,F15-17,F18+,F18-19,F18-34,F18-49,F20,F21,F22-24,F25-29,F30-34,F35-39,F35-49,F40-44,F45-49,F50-54,F50-64,F55-59,F60-61,F62-64,F65+,F65-66,F67-69,F70-74,F75-79,F80-84,F85+,M0-5,M0-9,M5-17,M5-9,M10-14,M10-17,M15-17,M18+,M18-19,M18-34,M18-49,M20,M21,M22-24,M25-29,M30-34,M35-39,M35-49,M40-44,M45-49,M50-54,M50-64,M55-59,M60-61,M62-64,M65+,M65-66,M67-69,M75-79,M70-74,M80-84,M85+,P0-17,P0-17.1,P0-5,P0-9,P5-17,P5-9,P10-14,P10-17,P15-17,P18+,P18-19,P18-34,P18-49,P20,P21,P22-24,P25-29,P30-34,P35-39,P35-49,P40-44,P45-49,P50-54,P50-64,P55-59,P60-61,P62-64,P65+,P65-66,P67-69,P70-74,P75-79,P80-84,P85+,Females Baby Boomers,Males Baby Boomers,Population Baby Boomers,Females Millennials,Males Millennials,Population Millennials,Females Generation Z,Males Generation Z,Population Generation Z
NV,Nevada,1510085.0,1520196.0,3030281.0,336242.0,90235.0,182452.0,246007.0,92217.0,97740.0,153790.0,56050.0,1173843.0,31639.0,338194.0,635756.0,18175.0,17574.0,53509.0,110569.0,106728.0,100060.0,297562.0,99072.0,98430.0,95791.0,285769.0,99658.0,36971.0,53349.0,252318.0,36127.0,48990.0,68194.0,45600.0,26253.0,27154.0,93906.0,190186.0,257365.0,96280.0,102373.0,161085.0,58712.0,1168925.0,34728.0,354506.0,659295.0,19795.0,19590.0,53938.0,114492.0,111963.0,106157.0,304789.0,97806.0,100826.0,98688.0,283928.0,97101.0,36950.0,51189.0,225702.0,32232.0,46389.0,41653.0,63097.0,24132.0,18199.0,687513.0,351271.0,184141.0,372638.0,503372.0,188497.0,200113.0,314875.0,114762.0,2342768.0,66367.0,692700.0,1295051.0,37970.0,37164.0,107447.0,225061.0,218691.0,206217.0,602351.0,196878.0,199256.0,194479.0,569697.0,196759.0,73921.0,104538.0,478020.0,68359.0,95379.0,131291.0,87253.0,50385.0,45353.0,541549.0,271510.0,560741.0,603422.0,620715.0,1224137.0,287516.0,301255.0,588771.0
NY,New York,9925810.0,9359965.0,19285775.0,1966107.0,551314.0,1078709.0,1414793.0,527395.0,552632.0,887398.0,334766.0,7959703.0,244454.0,2302098.0,4146817.0,121437.0,125421.0,393129.0,728389.0,689268.0,632808.0,1844719.0,586838.0,625073.0,670192.0,2000559.0,687339.0,278096.0,364932.0,1812327.0,229264.0,313379.0,429968.0,308642.0,228771.0,302303.0,576440.0,1125529.0,1479919.0,549089.0,580842.0,930830.0,349988.0,7303606.0,248861.0,2307574.0,4085388.0,125215.0,128052.0,386310.0,729536.0,689600.0,614547.0,1777814.0,569274.0,593993.0,629832.0,1851792.0,640169.0,248965.0,332826.0,1366426.0,203018.0,266041.0,236036.0,353793.0,151523.0,156015.0,4022466.0,2056359.0,1127754.0,2204238.0,2894712.0,1076484.0,1133474.0,1818228.0,684754.0,15263309.0,493315.0,4609672.0,8232205.0,246652.0,253473.0,779439.0,1457925.0,1378868.0,1247355.0,3622533.0,1156112.0,1219066.0,1300024.0,3852351.0,1327508.0,527061.0,697758.0,3178753.0,432282.0,579420.0,783761.0,544678.0,380294.0,458318.0,3736608.0,1640679.0,3564960.0,3753633.0,3651235.0,7404868.0,1947596.0,1967962.0,3915558.0
OH,Ohio,5953479.0,5721796.0,11675275.0,1267219.0,338632.0,680387.0,928587.0,341755.0,365341.0,586832.0,221491.0,4686260.0,151673.0,1286558.0,2356252.0,78029.0,76632.0,217225.0,392685.0,370314.0,358849.0,1069694.0,343576.0,367269.0,384240.0,1213153.0,422638.0,173949.0,232326.0,1116855.0,148895.0,201452.0,264578.0,194903.0,136705.0,170322.0,354351.0,714180.0,972418.0,359829.0,380085.0,612589.0,232504.0,4395027.0,158059.0,1319017.0,2371169.0,83192.0,79817.0,221694.0,403419.0,372836.0,354798.0,1052152.0,338610.0,358744.0,373587.0,1150092.0,403605.0,160286.0,212614.0,873766.0,136163.0,177484.0,150477.0,225434.0,93881.0,90327.0,2593988.0,1326769.0,692983.0,1394567.0,1901005.0,701584.0,745426.0,1199421.0,453995.0,9081287.0,309732.0,2605575.0,4727421.0,161221.0,156449.0,438919.0,796104.0,743150.0,713647.0,2121846.0,682186.0,726013.0,757827.0,2363245.0,826243.0,334235.0,444940.0,1990621.0,285058.0,378936.0,490012.0,345380.0,230586.0,260649.0,2332958.0,1062458.0,2278561.0,2142433.0,2118396.0,4260829.0,1137735.0,1178685.0,2316420.0
OK,Oklahoma,1992725.0,1956617.0,3949342.0,467756.0,126488.0,256920.0,341268.0,130432.0,133695.0,210836.0,77141.0,1524969.0,50847.0,451152.0,811091.0,30561.0,27205.0,74471.0,136749.0,131319.0,129720.0,359939.0,115032.0,115187.0,116885.0,370706.0,129929.0,51045.0,72847.0,343172.0,42797.0,62813.0,86292.0,62003.0,43700.0,45567.0,132515.0,267492.0,356099.0,134977.0,139681.0,221122.0,81441.0,1468003.0,55220.0,475249.0,838900.0,29987.0,30565.0,82436.0,141871.0,135170.0,129148.0,363651.0,118983.0,115520.0,114900.0,353080.0,124014.0,46709.0,67457.0,276023.0,39968.0,55285.0,50538.0,73128.0,32986.0,24118.0,956370.0,488614.0,259003.0,524412.0,697367.0,265409.0,273376.0,431958.0,158582.0,2992972.0,106067.0,926401.0,1649991.0,60548.0,57770.0,156907.0,278620.0,266489.0,258868.0,723590.0,234015.0,230707.0,231785.0,723786.0,253943.0,97754.0,140304.0,619195.0,82765.0,118098.0,159420.0,112541.0,76686.0,69685.0,720969.0,333085.0,710882.0,736010.0,746952.0,1482962.0,396974.0,421520.0,818494.0
OR,Oregon,2105719.0,2070627.0,4176346.0,422379.0,111152.0,228639.0,311227.0,117487.0,121487.0,193740.0,72253.0,1683340.0,48050.0,470498.0,877852.0,26539.0,27105.0,76662.0,146352.0,145790.0,144384.0,407354.0,132658.0,130312.0,125500.0,406984.0,135156.0,59589.0,86739.0,398504.0,56616.0,79551.0,99069.0,66304.0,42835.0,54129.0,117162.0,239848.0,327535.0,122686.0,128766.0,204849.0,76083.0,1625930.0,50590.0,488584.0,903070.0,27899.0,26706.0,80889.0,151719.0,150781.0,145449.0,414486.0,136916.0,132121.0,125330.0,386432.0,129633.0,52610.0,78859.0,336428.0,54050.0,69019.0,56210.0,88813.0,34443.0,33893.0,867076.0,444697.0,228314.0,468487.0,638762.0,240173.0,250253.0,398589.0,148336.0,3309270.0,98640.0,959082.0,1780922.0,54438.0,53811.0,157551.0,298071.0,296571.0,289833.0,821840.0,269574.0,262433.0,250830.0,793416.0,264789.0,112199.0,165598.0,734932.0,110666.0,148570.0,187882.0,122514.0,77278.0,88022.0,846372.0,399561.0,847429.0,830186.0,847632.0,1677818.0,396961.0,413886.0,810847.0
PA,Pennsylvania,6525743.0,6269142.0,12794885.0,1293360.0,342373.0,696203.0,950987.0,353830.0,369714.0,597157.0,227443.0,5232383.0,169941.0,1401080.0,2553917.0,82226.0,85046.0,232535.0,420882.0,410450.0,384293.0,1152837.0,367783.0,400761.0,435174.0,1364967.0,471299.0,190411.0,268083.0,1313499.0,164994.0,228743.0,306179.0,224386.0,166654.0,222543.0,359858.0,723124.0,996364.0,363266.0,393558.0,633098.0,239540.0,4912920.0,173512.0,1448041.0,2592858.0,84852.0,84176.0,243017.0,440585.0,421899.0,384364.0,1144817.0,366324.0,394129.0,421535.0,1298457.0,449436.0,176553.0,250933.0,1021605.0,154203.0,203807.0,175280.0,259928.0,113161.0,115226.0,2649582.0,1356222.0,702231.0,1419327.0,1947351.0,717096.0,763272.0,1230255.0,466983.0,10145303.0,343453.0,2849121.0,5146775.0,167078.0,169222.0,475552.0,861467.0,832349.0,768657.0,2297654.0,734107.0,794890.0,856709.0,2663424.0,920735.0,366964.0,519016.0,2335104.0,319197.0,432550.0,566107.0,399666.0,279815.0,337769.0,2696295.0,1220704.0,2603500.0,2315363.0,2317404.0,4632767.0,1218073.0,1265682.0,2483755.0
RI,Rhode Island,543274.0,514524.0,1057798.0,100262.0,26703.0,53965.0,73559.0,27262.0,28234.0,46297.0,18063.0,443012.0,18532.0,127909.0,223919.0,8960.0,8464.0,19993.0,36867.0,35093.0,33348.0,96010.0,28864.0,33798.0,37852.0,115567.0,39574.0,16210.0,21931.0,103526.0,13416.0,17427.0,24176.0,17425.0,13109.0,17973.0,27985.0,55460.0,77197.0,27475.0,30918.0,49722.0,18804.0,409342.0,16812.0,129872.0,223561.0,8430.0,7576.0,22217.0,38972.0,35865.0,32466.0,93689.0,29286.0,31937.0,35743.0,106821.0,36273.0,14752.0,20053.0,78960.0,11666.0,16098.0,14063.0,20624.0,8451.0,8058.0,205444.0,105182.0,54688.0,109425.0,150756.0,54737.0,59152.0,96019.0,36867.0,852354.0,35344.0,257781.0,447480.0,17390.0,16040.0,42210.0,75839.0,70958.0,65814.0,189699.0,58150.0,65735.0,73595.0,222388.0,75847.0,30962.0,41984.0,182486.0,25082.0,33525.0,44800.0,31488.0,21560.0,26031.0,214111.0,97256.0,207841.0,193315.0,191306.0,384621.0,110879.0,112811.0,223690.0
SC,South Carolina,2622835.0,2468682.0,5091517.0,542757.0,142438.0,293446.0,400319.0,151008.0,156502.0,249311.0,92809.0,2080078.0,66604.0,568287.0,1048736.0,33466.0,34253.0,93209.0,175881.0,164874.0,163480.0,480449.0,153023.0,163946.0,170146.0,531259.0,179165.0,75950.0,105998.0,500083.0,68356.0,98397.0,130621.0,90353.0,56150.0,56206.0,149213.0,303943.0,416635.0,154730.0,165079.0,261905.0,96826.0,1902834.0,73000.0,572510.0,1025718.0,38641.0,37258.0,93855.0,172082.0,157674.0,153156.0,453208.0,146825.0,153227.0,158110.0,476503.0,161882.0,64580.0,91931.0,400613.0,56864.0,83222.0,72510.0,114449.0,43249.0,30319.0,1108605.0,565848.0,291651.0,597389.0,816954.0,305738.0,321581.0,511216.0,189635.0,3982912.0,139604.0,1140797.0,2074454.0,72107.0,71511.0,187064.0,347963.0,322548.0,316636.0,933657.0,299848.0,317173.0,328256.0,1007762.0,341047.0,140530.0,197929.0,900696.0,125220.0,181619.0,245070.0,162863.0,99399.0,86525.0,1069758.0,483556.0,1053231.0,961826.0,910863.0,1872689.0,496222.0,511662.0,1007884.0
SD,South Dakota,436388.0,442948.0,879336.0,105750.0,29611.0,59649.0,76139.0,30038.0,29544.0,46101.0,16557.0,330638.0,11459.0,95143.0,168224.0,5363.0,5117.0,18467.0,27160.0,27577.0,27015.0,73081.0,23220.0,22846.0,25019.0,83716.0,29810.0,11302.0,17585.0,78698.0,10636.0,13784.0,18378.0,12762.0,9865.0,13273.0,30408.0,61767.0,79589.0,31359.0,30555.0,48230.0,17675.0,332951.0,12676.0,103422.0,181490.0,6354.0,6507.0,17402.0,30689.0,29794.0,29946.0,78068.0,24160.0,23962.0,25287.0,83328.0,28824.0,11841.0,17376.0,68133.0,12213.0,13285.0,10813.0,17215.0,7471.0,7136.0,215747.0,109997.0,60019.0,121416.0,155728.0,61397.0,60099.0,94331.0,34232.0,663589.0,24135.0,198565.0,349714.0,11717.0,11624.0,35869.0,57849.0,57371.0,56961.0,151149.0,47380.0,46808.0,50306.0,167044.0,58634.0,23143.0,34961.0,146831.0,22849.0,27069.0,35593.0,23575.0,17336.0,20409.0,163145.0,82743.0,167190.0,150893.0,161968.0,312861.0,84123.0,91303.0,175426.0
TN,Tennessee,3467806.0,3304462.0,6772268.0,736866.0,198435.0,397657.0,538431.0,199222.0,213270.0,339209.0,125939.0,2730940.0,81922.0,771896.0,1421706.0,45579.0,45284.0,130682.0,244030.0,224399.0,219632.0,649810.0,207613.0,222565.0,226331.0,690969.0,238646.0,93448.0,132544.0,618265.0,80650.0,114824.0,159126.0,109563.0,74100.0,80002.0,208551.0,416596.0,562473.0,208045.0,222622.0,354428.0,131806.0,2533438.0,86714.0,774480.0,1406481.0,47706.0,44634.0,132010.0,243857.0,219559.0,212899.0,632001.0,203524.0,215578.0,215875.0,637658.0,214880.0,85770.0,121133.0,489299.0,74993.0,100924.0,88775.0,132136.0,51590.0,40881.0,1507890.0,771024.0,406986.0,814253.0,1100904.0,407267.0,435892.0,693637.0,257745.0,5264378.0,168636.0,1546376.0,2828187.0,93285.0,89918.0,262692.0,487887.0,443958.0,432531.0,1281811.0,411137.0,438143.0,442206.0,1328627.0,453526.0,179218.0,253677.0,1107564.0,155643.0,215748.0,291262.0,198338.0,125690.0,120883.0,1308420.0,603731.0,1293886.0,1301454.0,1267983.0,2569437.0,673436.0,686727.0,1360163.0
TX,Texas,14413722.0,14221720.0,28635442.0,3616643.0,976478.0,1966371.0,2640165.0,989893.0,1042478.0,1650272.0,607794.0,10797079.0,388083.0,3428006.0,6288085.0,198013.0,195002.0,577719.0,1044121.0,1025068.0,997297.0,2860079.0,941228.0,921554.0,864418.0,2519192.0,867714.0,332065.0,454995.0,1989802.0,280017.0,377080.0,498592.0,342528.0,231219.0,260366.0,1020529.0,2047388.0,2744310.0,1026859.0,1088140.0,1717451.0,629311.0,10456881.0,415143.0,3586591.0,6443419.0,211272.0,210823.0,608054.0,1086864.0,1054435.0,1004581.0,2856828.0,944938.0,907309.0,849686.0,2409895.0,834856.0,308952.0,416401.0,1603567.0,252270.0,334556.0,275774.0,424348.0,169874.0,146745.0,7381482.0,3764839.0,1997007.0,4013759.0,5384475.0,2016752.0,2130618.0,3367723.0,1237105.0,21253960.0,803226.0,7014597.0,12731504.0,409285.0,405825.0,1185773.0,2130985.0,2079503.0,2001878.0,5716907.0,1886166.0,1828863.0,1714104.0,4929087.0,1702570.0,641017.0,871396.0,3593369.0,532287.0,711636.0,922940.0,618302.0,401093.0,407111.0,4275079.0,2012301.0,4297578.0,5823672.0,5860782.0,11684454.0,3010732.0,3161467.0,6172199.0
UT,Utah,1564289.0,1586950.0,3151239.0,451221.0,121013.0,249869.0,330208.0,128856.0,126628.0,201352.0,74724.0,1113068.0,47484.0,401569.0,698883.0,23267.0,26649.0,76796.0,118712.0,108661.0,112160.0,297314.0,100299.0,84855.0,75445.0,227615.0,77165.0,31031.0,43974.0,186570.0,26406.0,35378.0,47452.0,31883.0,24288.0,21163.0,127589.0,261032.0,348759.0,133443.0,136407.0,215316.0,78909.0,1110602.0,47572.0,418466.0,726084.0,23941.0,28397.0,81092.0,125816.0,111648.0,117902.0,307618.0,102198.0,87518.0,75575.0,222078.0,75762.0,30441.0,40300.0,162440.0,25151.0,33472.0,27918.0,42185.0,18638.0,15076.0,927569.0,476348.0,248602.0,510901.0,678967.0,262299.0,263035.0,416668.0,153633.0,2223670.0,95056.0,820035.0,1424967.0,47208.0,55046.0,157888.0,244528.0,220309.0,230062.0,604932.0,202497.0,172373.0,151020.0,449693.0,152927.0,61472.0,84274.0,349010.0,51557.0,68850.0,89637.0,59801.0,42926.0,36239.0,402694.0,199467.0,415591.0,618434.0,639366.0,1257800.0,367632.0,385727.0,753359.0
VA,Virginia,4246499.0,4117960.0,8364459.0,900558.0,244213.0,491435.0,656345.0,247222.0,256602.0,409123.0,152521.0,3345941.0,108122.0,944726.0,1772202.0,54541.0,51296.0,156773.0,287093.0,286901.0,286968.0,827476.0,263196.0,277312.0,288016.0,852804.0,294004.0,115453.0,155331.0,720935.0,95009.0,136177.0,181070.0,127909.0,88120.0,92650.0,256089.0,513736.0,685554.0,257647.0,268096.0,427907.0,159811.0,3176317.0,113900.0,986583.0,1802033.0,58460.0,55459.0,171848.0,297261.0,289655.0,282102.0,815450.0,263826.0,269522.0,274586.0,799476.0,278130.0,108046.0,138714.0,574808.0,87489.0,118920.0,100951.0,151598.0,63035.0,52815.0,1842201.0,941643.0,500302.0,1005171.0,1341899.0,504869.0,524698.0,837030.0,312332.0,6522258.0,222022.0,1931309.0,3574235.0,113001.0,106755.0,328621.0,584354.0,576556.0,569070.0,1642926.0,527022.0,546834.0,562602.0,1652280.0,572134.0,223499.0,294045.0,1295743.0,182498.0,255097.0,332668.0,228860.0,151155.0,145465.0,1531884.0,705718.0,1516667.0,1664541.0,1651033.0,3315574.0,810346.0,856739.0,1667085.0
VT,Vermont,315899.0,308441.0,624340.0,55816.0,13928.0,29281.0,41888.0,15353.0,16130.0,26535.0,10405.0,260083.0,10079.0,68710.0,123789.0,5425.0,5022.0,11591.0,18481.0,18112.0,18162.0,55079.0,17654.0,19263.0,21928.0,70832.0,24142.0,10014.0,14748.0,65462.0,9134.0,12467.0,16391.0,11448.0,6987.0,9035.0,15110.0,31736.0,44706.0,16626.0,17157.0,28080.0,10923.0,248625.0,10848.0,72114.0,125824.0,5155.0,5680.0,12819.0,19283.0,18329.0,18072.0,53710.0,16941.0,18697.0,20697.0,67391.0,23048.0,9918.0,13728.0,55410.0,8109.0,11923.0,9428.0,15375.0,5777.0,4798.0,115632.0,59816.0,29038.0,61017.0,86594.0,31979.0,33287.0,54615.0,21328.0,508708.0,20927.0,140824.0,249613.0,10580.0,10702.0,24410.0,37764.0,36441.0,36234.0,108789.0,34595.0,37960.0,42625.0,138223.0,47190.0,19932.0,28476.0,120872.0,17243.0,24390.0,31766.0,20876.0,12764.0,13833.0,139664.0,68481.0,142683.0,109007.0,107052.0,216059.0,61003.0,64708.0,125711.0
WA,Washington,3753458.0,3759007.0,7512465.0,807991.0,221450.0,449185.0,586541.0,227735.0,226019.0,358806.0,132787.0,2945467.0,86554.0,868055.0,1594522.0,44073.0,44879.0,140635.0,277555.0,274359.0,259798.0,726467.0,233890.0,232779.0,231547.0,719713.0,243565.0,99957.0,144644.0,631232.0,88679.0,120634.0,162194.0,103278.0,69182.0,87265.0,233162.0,471691.0,612316.0,238529.0,235813.0,373787.0,137974.0,2913529.0,90799.0,937866.0,1685285.0,48705.0,48769.0,154811.0,302992.0,291790.0,269881.0,747419.0,240129.0,237409.0,231492.0,698872.0,237619.0,94195.0,135566.0,529372.0,82608.0,109225.0,88211.0,143753.0,55169.0,50406.0,1653469.0,845478.0,454612.0,920876.0,1198857.0,466264.0,461832.0,732593.0,270761.0,5858996.0,177353.0,1805921.0,3279807.0,92778.0,93648.0,295446.0,580547.0,566149.0,529679.0,1473886.0,474019.0,470188.0,463039.0,1418585.0,481184.0,194152.0,280210.0,1160604.0,171287.0,229859.0,305947.0,191489.0,124351.0,137671.0,1350618.0,653558.0,1372944.0,1494514.0,1549219.0,3043733.0,726483.0,784050.0,1510533.0
WI,Wisconsin,2917192.0,2889783.0,5806975.0,621653.0,161384.0,333274.0,460269.0,171890.0,179135.0,288379.0,109244.0,2295539.0,76043.0,629488.0,1152787.0,39710.0,40654.0,114058.0,180089.0,178934.0,182665.0,523299.0,166275.0,174359.0,193973.0,608089.0,218177.0,82356.0,113583.0,534663.0,70272.0,96219.0,129301.0,86446.0,65728.0,86697.0,169682.0,348519.0,482986.0,178837.0,189763.0,304149.0,114386.0,2237115.0,77945.0,656607.0,1190418.0,42290.0,41682.0,118154.0,191322.0,185214.0,189125.0,533811.0,168078.0,176608.0,193509.0,598561.0,211582.0,83062.0,110408.0,448136.0,68561.0,92331.0,73891.0,117053.0,49768.0,46532.0,1274321.0,652668.0,331066.0,681793.0,943255.0,350727.0,368898.0,592528.0,223630.0,4532654.0,153988.0,1286095.0,2343205.0,82000.0,82336.0,232212.0,371411.0,364148.0,371790.0,1057110.0,334353.0,350967.0,387482.0,1206650.0,429759.0,165418.0,223991.0,982799.0,138833.0,188550.0,246354.0,160337.0,115496.0,133229.0,1112840.0,545306.0,1123483.0,1051173.0,1076228.0,2127401.0,559798.0,585779.0,1145577.0
WV,West Virginia,913683.0,893743.0,1807426.0,178227.0,46689.0,95999.0,131538.0,49310.0,51179.0,82228.0,31049.0,735456.0,20912.0,181142.0,346534.0,11099.0,10878.0,33084.0,54296.0,50873.0,52037.0,165392.0,55754.0,57601.0,59426.0,192237.0,65250.0,27049.0,40512.0,196685.0,25958.0,37946.0,47452.0,34862.0,23443.0,27024.0,49003.0,99686.0,137987.0,50683.0,54587.0,87304.0,32717.0,706753.0,23947.0,191669.0,358945.0,12123.0,12956.0,33341.0,57034.0,52268.0,54194.0,167276.0,55174.0,57908.0,58738.0,184247.0,60968.0,25880.0,38661.0,163561.0,24127.0,35122.0,30565.0,42982.0,17366.0,13399.0,365217.0,186990.0,95692.0,195685.0,269525.0,99993.0,105766.0,169532.0,63766.0,1442209.0,44859.0,372811.0,705479.0,23222.0,23834.0,66425.0,111330.0,103141.0,106231.0,332668.0,110928.0,115509.0,118164.0,376484.0,126218.0,52929.0,79173.0,360246.0,50085.0,73068.0,90434.0,65427.0,40809.0,40423.0,410464.0,197337.0,411116.0,324056.0,328912.0,652968.0,161318.0,172118.0,333436.0
WY,Wyoming,285068.0,296280.0,581348.0,65547.0,17246.0,36252.0,48301.0,19006.0,18871.0,29295.0,10424.0,219521.0,6890.0,62692.0,114263.0,4196.0,3238.0,11069.0,18381.0,18918.0,19009.0,51571.0,16576.0,15986.0,16363.0,55833.0,19539.0,7913.0,12018.0,49425.0,6966.0,9863.0,12033.0,9262.0,5278.0,6023.0,18190.0,38110.0,51063.0,19920.0,19685.0,31143.0,11458.0,227027.0,7858.0,69585.0,124386.0,4135.0,3724.0,12619.0,20435.0,20814.0,19724.0,54801.0,18047.0,17030.0,16971.0,56500.0,19789.0,8680.0,11060.0,46141.0,7414.0,9763.0,7768.0,12475.0,4746.0,3975.0,134800.0,69253.0,35436.0,74362.0,99364.0,38926.0,38556.0,60438.0,21882.0,446548.0,14748.0,132277.0,238649.0,8331.0,6962.0,23688.0,38816.0,39732.0,38733.0,106372.0,34623.0,33016.0,33334.0,112333.0,39328.0,16593.0,23078.0,95566.0,14380.0,19626.0,24508.0,17030.0,10024.0,9998.0,107480.0,57160.0,115215.0,106074.0,113386.0,219460.0,54198.0,60229.0,114427.0
