Market,State,Females,Males,Population,F0-17,F0-5,F0-9,F5-17,F5-9,F10-14,F10-17,F15-17,F18+,F18-19,F18-34,F18-49,F20,F21,F22-24,F25-29,F30-34,F35-39,F35-49,F40-44,F45-49,F50-54,F50-64,F55-59,F60-61,F62-64,F65+,F65-66,F67-69,F70-74,F75-79,F80-84,F85+,M0-5,M0-9,M5-17,M5-9,M10-14,M10-17,M15-17,M18+,M18-19,M18-34,M18-49,M20,M21,M22-24,M25-29,M30-34,M35-39,M35-49,M40-44,M45-49,M50-54,M50-64,M55-59,M60-61,M62-64,M65+,M65-66,M67-69,M75-79,M70-74,M80-84,M85+,P0-17,P0-17.1,P0-5,P0-9,P5-17,P5-9,P10-14,P10-17,P15-17,P18+,P18-19,P18-34,P18-49,P20,P21,P22-24,P25-29,P30-34,P35-39,P35-49,P40-44,P45-49,P50-54,P50-64,P55-59,P60-61,P62-64,P65+,P65-66,P67-69,P70-74,P75-79,P80-84,P85+,Females Baby Boomers,Males Baby Boomers,Population Baby Boomers,Females Millennials,Males Millennials,Population Millennials,Females Generation Z,Males Generation Z,Population Generation Z
MN,Minnesota,2811149.0,2789017.0,5600166.0,635511.0,171507.0,347616.0,464004.0,176109.0,181460.0,287895.0,106435.0,2175638.0,69090.0,616999.0,1132933.0,36145.0,34348.0,105875.0,182935.0,188606.0,185955.0,515934.0,164063.0,165916.0,178455.0,558028.0,198980.0,74861.0,105732.0,484677.0,64888.0,88833.0,111125.0,81800.0,59690.0,78341.0,179597.0,365202.0,484176.0,185605.0,187747.0,298571.0,110824.0,2125244.0,71913.0,641478.0,1171654.0,36902.0,37047.0,107124.0,192527.0,195965.0,191051.0,530176.0,169916.0,169209.0,178697.0,550691.0,195467.0,72890.0,103637.0,402899.0,60584.0,83481.0,68290.0,102216.0,44159.0,44169.0,1299284.0,663773.0,351104.0,712818.0,948180.0,361714.0,369207.0,586466.0,217259.0,4300882.0,141003.0,1258477.0,2304587.0,73047.0,71395.0,212999.0,375462.0,384571.0,377006.0,1046110.0,333979.0,335125.0,357152.0,1108719.0,394447.0,147751.0,209369.0,887576.0,125472.0,172314.0,213341.0,150090.0,103849.0,122510.0,1011916.0,491098.0,1018337.0,1054558.0,1087108.0,2141666.0,534828.0,556337.0,1091165.0
MO,Missouri,3120159.0,3004001.0,6124160.0,673224.0,180854.0,362317.0,492370.0,181463.0,195234.0,310907.0,115673.0,2446935.0,77236.0,686227.0,1246464.0,41659.0,39862.0,118660.0,208570.0,200240.0,194646.0,560237.0,179491.0,186100.0,196363.0,623255.0,219607.0,85483.0,121802.0,577216.0,73221.0,104549.0,140490.0,103046.0,72453.0,83457.0,190192.0,383414.0,516007.0,193222.0,201776.0,322785.0,121009.0,2297802.0,82337.0,700762.0,1253320.0,42899.0,43339.0,121953.0,210519.0,199715.0,195339.0,552558.0,176313.0,180906.0,189276.0,588314.0,206228.0,81377.0,111433.0,456168.0,66304.0,91190.0,81086.0,120016.0,50984.0,46588.0,1379423.0,706199.0,371046.0,745731.0,1008377.0,374685.0,397010.0,633692.0,236682.0,4744737.0,159573.0,1386989.0,2499784.0,84558.0,83201.0,240613.0,419089.0,399955.0,389985.0,1112795.0,355804.0,367006.0,385639.0,1211569.0,425835.0,166860.0,233235.0,1033384.0,139525.0,195739.0,260506.0,184132.0,123437.0,130045.0,1205807.0,551406.0,1179997.0,1134614.0,1123925.0,2258539.0,601660.0,622056.0,1223716.0
MS,Mississippi,1538127.0,1443708.0,2981835.0,346696.0,90440.0,185937.0,256256.0,95497.0,100742.0,160759.0,60017.0,1191431.0,42915.0,339181.0,625629.0,22715.0,21063.0,56420.0,102022.0,94046.0,101150.0,286448.0,90219.0,95079.0,95890.0,298050.0,102909.0,39920.0,59331.0,267752.0,35831.0,49611.0,66648.0,47805.0,33007.0,34850.0,94834.0,191288.0,265691.0,96454.0,107495.0,169237.0,61742.0,1083183.0,43453.0,338446.0,605870.0,23698.0,21600.0,59638.0,100791.0,89266.0,92903.0,267424.0,87120.0,87401.0,89577.0,270795.0,91158.0,37738.0,52322.0,206518.0,31162.0,42973.0,37773.0,56719.0,21060.0,16831.0,707221.0,360525.0,185274.0,377225.0,521947.0,191951.0,208237.0,329996.0,121759.0,2274614.0,86368.0,677627.0,1231499.0,46413.0,42663.0,116058.0,202813.0,183312.0,194053.0,553872.0,177339.0,182480.0,185467.0,568845.0,194067.0,77658.0,111653.0,474270.0,66993.0,92584.0,123367.0,85578.0,54067.0,51681.0,566898.0,258687.0,557833.0,571863.0,536713.0,1108576.0,305152.0,310922.0,616074.0
MT,Montana,527577.0,534128.0,1061705.0,111059.0,29471.0,60161.0,81588.0,30690.0,32151.0,50898.0,18747.0,416518.0,12026.0,113027.0,204421.0,7259.0,6640.0,20491.0,33393.0,33218.0,32441.0,91394.0,29899.0,29054.0,30908.0,108779.0,38215.0,16701.0,22955.0,103318.0,14594.0,20479.0,25144.0,18380.0,11450.0,13271.0,31867.0,63942.0,85663.0,32075.0,33972.0,53588.0,19616.0,416598.0,14094.0,121926.0,217144.0,7266.0,7269.0,23383.0,35973.0,33941.0,34045.0,95218.0,31284.0,29889.0,30757.0,104653.0,36001.0,15853.0,22042.0,94801.0,13666.0,19861.0,17387.0,26040.0,9833.0,8014.0,228589.0,117530.0,61338.0,124103.0,167251.0,62765.0,66123.0,104486.0,38363.0,833116.0,26120.0,234953.0,421565.0,14525.0,13909.0,43874.0,69366.0,67159.0,66486.0,186612.0,61183.0,58943.0,61665.0,213432.0,74216.0,32554.0,44997.0,198119.0,28260.0,40340.0,51184.0,35767.0,21283.0,21285.0,221571.0,114849.0,233102.0,186952.0,194488.0,381440.0,98556.0,107601.0,206157.0
NC,North Carolina,5333560.0,5052667.0,10386227.0,1127634.0,295468.0,602918.0,832166.0,307450.0,327462.0,524716.0,197254.0,4205926.0,142595.0,1179182.0,2200938.0,70930.0,66314.0,197983.0,360399.0,340961.0,335094.0,1021756.0,333617.0,353045.0,350523.0,1055750.0,360544.0,143099.0,201584.0,949238.0,128291.0,176447.0,242427.0,165252.0,112753.0,124068.0,309831.0,629146.0,864131.0,319315.0,342054.0,544816.0,202762.0,3878705.0,147302.0,1199502.0,2171221.0,78010.0,74786.0,209938.0,360429.0,329037.0,317622.0,971719.0,318257.0,335840.0,332523.0,968368.0,331297.0,126128.0,178420.0,739116.0,110275.0,152032.0,131635.0,202544.0,76439.0,66191.0,2301596.0,1173962.0,605299.0,1232064.0,1696297.0,626765.0,669516.0,1069532.0,400016.0,8084631.0,289897.0,2378684.0,4372159.0,148940.0,141100.0,407921.0,720828.0,669998.0,652716.0,1993475.0,651874.0,688885.0,683046.0,2024118.0,691841.0,269227.0,380004.0,1688354.0,238566.0,328479.0,444971.0,296887.0,189192.0,190259.0,2006338.0,901034.0,1958134.0,2031428.0,1936635.0,3968063.0,1035475.0,1073227.0,2108702.0
ND,North Dakota,371110.0,389284.0,760394.0,86690.0,25856.0,50540.0,60834.0,24684.0,23014.0,36150.0,13136.0,284420.0,9705.0,92768.0,154491.0,4886.0,5883.0,19274.0,27916.0,25104.0,23275.0,61723.0,19674.0,18774.0,20227.0,66817.0,23845.0,9915.0,12830.0,63112.0,8449.0,10556.0,13235.0,10715.0,8984.0,11173.0,27552.0,53239.0,63787.0,25687.0,24823.0,38100.0,13277.0,297945.0,11855.0,107528.0,175564.0,6878.0,6595.0,19764.0,32539.0,29897.0,25341.0,68036.0,22294.0,20401.0,21441.0,69087.0,24207.0,9650.0,13789.0,53294.0,8372.0,10694.0,8894.0,12794.0,5929.0,6611.0,178029.0,91339.0,53408.0,103779.0,124621.0,50371.0,47837.0,74250.0,26413.0,582365.0,21560.0,200296.0,330055.0,11764.0,12478.0,39038.0,60455.0,55001.0,48616.0,129759.0,41968.0,39175.0,41668.0,135904.0,48052.0,19565.0,26619.0,116406.0,16821.0,21250.0,26029.0,19609.0,14913.0,17784.0,128812.0,64193.0,129893.0,129776.0,145568.0,275344.0,80800.0,90908.0,171708.0
NE,Nebraska,964149.0,959677.0,1923826.0,231100.0,63538.0,127844.0,167562.0,64306.0,65599.0,103256.0,37657.0,733049.0,26185.0,217077.0,388295.0,13785.0,13100.0,39560.0,62118.0,62329.0,63616.0,171218.0,54272.0,53330.0,55569.0,178358.0,61292.0,25077.0,36420.0,166396.0,21720.0,30246.0,37772.0,27181.0,21370.0,28107.0,67204.0,134936.0,176799.0,67732.0,68640.0,109067.0,40427.0,715674.0,27079.0,227547.0,404423.0,14208.0,13962.0,41304.0,65576.0,65418.0,64793.0,176876.0,56931.0,55152.0,56421.0,175616.0,60113.0,25179.0,33903.0,135635.0,20816.0,27278.0,22852.0,34055.0,15752.0,14882.0,475103.0,244003.0,130742.0,262780.0,344361.0,132038.0,134239.0,212323.0,78084.0,1448723.0,53264.0,444624.0,792718.0,27993.0,27062.0,80864.0,127694.0,127747.0,128409.0,348094.0,111203.0,108482.0,111990.0,353974.0,121405.0,50256.0,70323.0,302031.0,42536.0,57524.0,71827.0,50033.0,37122.0,42989.0,344812.0,164083.0,342499.0,351435.0,364018.0,715453.0,192405.0,202556.0,394961.0
NH,New Hampshire,683442.0,671802.0,1355244.0,125704.0,31360.0,64244.0,94344.0,32884.0,37969.0,61460.0,23491.0,557738.0,18686.0,143520.0,266179.0,9280.0,8414.0,25568.0,40496.0,41076.0,38897.0,122659.0,38958.0,44804.0,51015.0,158556.0,56253.0,22359.0,28929.0,133003.0,18196.0,24814.0,33329.0,22291.0,15096.0,19277.0,32317.0,68539.0,99710.0,36222.0,38683.0,63488.0,24805.0,539775.0,18745.0,151998.0,273769.0,9670.0,8400.0,27588.0,44911.0,42684.0,38942.0,121771.0,38708.0,44121.0,49868.0,153867.0,55395.0,20482.0,28122.0,112139.0,17296.0,23571.0,18677.0,30387.0,11573.0,10635.0,257731.0,132027.0,63677.0,132783.0,194054.0,69106.0,76652.0,124948.0,48296.0,1097513.0,37431.0,295518.0,539948.0,18950.0,16814.0,53156.0,85407.0,83760.0,77839.0,244430.0,77666.0,88925.0,100883.0,312423.0,111648.0,42841.0,57051.0,245142.0,35492.0,48385.0,63716.0,40968.0,26669.0,29912.0,282921.0,138535.0,288453.0,241590.0,242105.0,483695.0,125935.0,134119.0,260054.0
NJ,New Jersey,4544295.0,4341123.0,8885418.0,956091.0,253242.0,513112.0,702849.0,259870.0,275210.0,442979.0,167769.0,3588204.0,102614.0,935781.0,1814194.0,52005.0,52925.0,164967.0,280349.0,282921.0,293816.0,878413.0,278794.0,305803.0,325933.0,953208.0,330453.0,129584.0,167238.0,820802.0,104072.0,141503.0,195132.0,142989.0,101311.0,135795.0,265107.0,536827.0,732255.0,271720.0,285156.0,460535.0,175379.0,3343761.0,110363.0,971972.0,1828746.0,55897.0,56587.0,167106.0,293236.0,288783.0,286379.0,856774.0,277182.0,293213.0,308197.0,892879.0,310100.0,119979.0,154603.0,622136.0,90202.0,122158.0,108353.0,162636.0,70336.0,68451.0,1953453.0,997362.0,518349.0,1049939.0,1435104.0,531590.0,560366.0,903514.0,343148.0,6931965.0,212977.0,1907753.0,3642940.0,107902.0,109512.0,332073.0,573585.0,571704.0,580195.0,1735187.0,555976.0,599016.0,634130.0,1846087.0,640553.0,249563.0,321841.0,1442938.0,194274.0,263661.0,357768.0,251342.0,171647.0,204246.0,1701320.0,757931.0,1638449.0,1733944.0,1709118.0,3443062.0,820629.0,858568.0,1679197.0
NM,New Mexico,1024849.0,1001813.0,2026662.0,226459.0,57625.0,119615.0,168834.0,61990.0,67723.0,106844.0,39121.0,798390.0,25880.0,224050.0,403951.0,13883.0,12648.0,39382.0,67404.0,64853.0,62708.0,179901.0,59441.0,57752.0,61128.0,200209.0,70429.0,27938.0,40714.0,194230.0,26784.0,37424.0,48571.0,33196.0,23327.0,24928.0,59775.0,124412.0,176004.0,64637.0,70247.0,111367.0,41120.0,766034.0,27576.0,239984.0,419208.0,13424.0,15947.0,42619.0,71759.0,68659.0,65260.0,179224.0,57698.0,56266.0,57689.0,183948.0,63045.0,26419.0,36795.0,162878.0,22788.0,33049.0,28336.0,44438.0,18342.0,15925.0,462238.0,235779.0,117400.0,244027.0,344838.0,126627.0,137970.0,218211.0,80241.0,1564424.0,53456.0,464034.0,823159.0,27307.0,28595.0,82001.0,139163.0,133512.0,127968.0,359125.0,117139.0,114018.0,118817.0,384157.0,133474.0,54357.0,77509.0,357108.0,49572.0,70473.0,93009.0,61532.0,41669.0,40853.0,408857.0,191825.0,406452.0,366903.0,370841.0,737744.0,198318.0,212445.0,410763.0
