Market,Dma,Females,Males,Population,F0-5,F5-9,F10-17,F18+,F18-34,F18-49,F35-49,F50-64,F65+,M0-5,M5-9,M10-17,M18+,M18-34,M18-49,M35-49,M50-64,M65+,P0-5,P5-9,P10-17,P18+,P18-34,P18-49,P35-49,P50-64,P65+
518,Greensboro-H.Point-W.Salem,947732.0,875867.0,1823599.0,50069.0,53235.0,92990.0,751438.0,203566.0,378242.0,174676.0,194197.0,178999.0,52117.0,56196.0,95548.0,672006.0,192260.0,354760.0,162500.0,179729.0,137517.0,102186.0,109431.0,188538.0,1423444.0,395826.0,733002.0,337176.0,373926.0,316516.0
519,"Charleston, Sc",473429.0,448110.0,921539.0,26825.0,28171.0,42630.0,375803.0,107425.0,196931.0,89506.0,95124.0,83748.0,27254.0,28918.0,44894.0,347044.0,109896.0,195404.0,85508.0,84229.0,67411.0,54079.0,57089.0,87524.0,722847.0,217321.0,392335.0,175014.0,179353.0,151159.0
520,Augusta-Aiken,3631337.0,3426679.0,7058016.0,203116.0,214967.0,354472.0,2858782.0,789583.0,1460370.0,670787.0,727986.0,670426.0,213283.0,218242.0,374502.0,2620652.0,802951.0,1433265.0,630314.0,654767.0,532620.0,416399.0,433209.0,728974.0,5479434.0,1592534.0,2893635.0,1301101.0,1382753.0,1203046.0
521,Providence-New Bedford,833913.0,787186.0,1621099.0,41267.0,42741.0,73483.0,676422.0,189698.0,340828.0,151130.0,177698.0,157896.0,42960.0,42619.0,78927.0,622680.0,191721.0,337411.0,145690.0,165181.0,120088.0,84227.0,85360.0,152410.0,1299102.0,381419.0,678239.0,296820.0,342879.0,277984.0
522,"Columbus, Ga (Opelika, Al)",299251.0,291931.0,591182.0,18408.0,17732.0,29327.0,233784.0,74736.0,128978.0,54242.0,56025.0,48781.0,18723.0,18771.0,30565.0,223872.0,83284.0,135559.0,52275.0,51411.0,36902.0,37131.0,36503.0,59892.0,457656.0,158020.0,264537.0,106517.0,107436.0,85683.0
523,Burlington-Plattsburgh,444822.0,445363.0,890185.0,19697.0,21260.0,37455.0,366410.0,96889.0,173722.0,76833.0,100406.0,92282.0,20988.0,23276.0,39005.0,362094.0,107559.0,185733.0,78174.0,97089.0,79272.0,40685.0,44536.0,76460.0,728504.0,204448.0,359455.0,155007.0,197495.0,171554.0
524,Atlanta,5228824.0,4935972.0,10164796.0,304258.0,320673.0,564182.0,4039711.0,1191743.0,2264674.0,1072931.0,1000407.0,774630.0,315166.0,335197.0,581902.0,3703707.0,1175553.0,2177943.0,1002390.0,923863.0,601901.0,619424.0,655870.0,1146084.0,7743418.0,2367296.0,4442617.0,2075321.0,1924270.0,1376531.0
525,"Albany, Ga",208795.0,200700.0,409495.0,12657.0,13083.0,22228.0,160827.0,44807.0,83040.0,38233.0,40261.0,37526.0,13402.0,13668.0,24066.0,149564.0,46438.0,84422.0,37984.0,36954.0,28188.0,26059.0,26751.0,46294.0,310391.0,91245.0,167462.0,76217.0,77215.0,65714.0
526,Utica,79803.0,78809.0,158612.0,3308.0,3696.0,6623.0,66176.0,17329.0,29997.0,12668.0,17889.0,18290.0,3795.0,3964.0,6817.0,64233.0,17947.0,31004.0,13057.0,17460.0,15769.0,7103.0,7660.0,13440.0,130409.0,35276.0,61001.0,25725.0,35349.0,34059.0
527,Indianapolis,1555978.0,1500223.0,3056201.0,92815.0,96635.0,159596.0,1206932.0,359530.0,650734.0,291204.0,298900.0,257298.0,98286.0,101526.0,166986.0,1133425.0,361953.0,649689.0,287736.0,283596.0,200140.0,191101.0,198161.0,326582.0,2340357.0,721483.0,1300423.0,578940.0,582496.0,457438.0
528,Miami-Ft. Lauderdale,2422162.0,2300776.0,4722938.0,133560.0,126152.0,219280.0,1943170.0,513281.0,1005044.0,491763.0,492094.0,446032.0,139320.0,129370.0,226883.0,1805203.0,527846.0,1010056.0,482210.0,460378.0,334769.0,272880.0,255522.0,446163.0,3748373.0,1041127.0,2015100.0,973973.0,952472.0,780801.0
529,Louisville,902556.0,868777.0,1771333.0,52333.0,52456.0,90837.0,706930.0,191476.0,361665.0,170189.0,185448.0,159817.0,55319.0,55845.0,94320.0,663293.0,195592.0,363708.0,168116.0,174146.0,125439.0,107652.0,108301.0,185157.0,1370223.0,387068.0,725373.0,338305.0,359594.0,285256.0
530,Tallahassee-Thomasville,384017.0,371181.0,755198.0,20471.0,20765.0,35632.0,307149.0,105509.0,171399.0,65890.0,70713.0,65037.0,21386.0,23024.0,36346.0,290425.0,106852.0,173164.0,66312.0,65383.0,51878.0,41857.0,43789.0,71978.0,597574.0,212361.0,344563.0,132202.0,136096.0,116915.0
531,"Tri-Cities, Tn-Va",388102.0,379231.0,767333.0,17395.0,18250.0,35402.0,317055.0,73926.0,143194.0,69268.0,85261.0,88600.0,18533.0,19081.0,37101.0,304516.0,79293.0,150591.0,71298.0,80944.0,72981.0,35928.0,37331.0,72503.0,621571.0,153219.0,293785.0,140566.0,166205.0,161581.0
532,Albany-Schenectady-Troy,702255.0,680129.0,1382384.0,33761.0,35203.0,59827.0,573464.0,151042.0,274347.0,123305.0,153469.0,145648.0,35011.0,36692.0,63927.0,544499.0,157921.0,280375.0,122454.0,146398.0,117726.0,68772.0,71895.0,123754.0,1117963.0,308963.0,554722.0,245759.0,299867.0,263374.0
533,Hartford & New Haven,1344382.0,1281861.0,2626243.0,63736.0,67124.0,124878.0,1088644.0,290450.0,533998.0,243548.0,292300.0,262346.0,67327.0,68912.0,131463.0,1014159.0,304920.0,537549.0,232629.0,273637.0,202973.0,131063.0,136036.0,256341.0,2102803.0,595370.0,1071547.0,476177.0,565937.0,465319.0
534,Orlando-Daytona Bch-Melbrn,2204414.0,2098956.0,4303370.0,111088.0,116160.0,194378.0,1782788.0,464577.0,867565.0,402988.0,441704.0,473519.0,115162.0,117810.0,205437.0,1660547.0,476495.0,865885.0,389390.0,401093.0,393569.0,226250.0,233970.0,399815.0,3443335.0,941072.0,1733450.0,792378.0,842797.0,867088.0
535,"Columbus, Oh",1310267.0,1280622.0,2590889.0,81332.0,79917.0,131405.0,1017613.0,314752.0,567121.0,252369.0,246440.0,204052.0,84843.0,83328.0,137070.0,975381.0,323066.0,576996.0,253930.0,238326.0,160059.0,166175.0,163245.0,268475.0,1992994.0,637818.0,1144117.0,506299.0,484766.0,364111.0
536,Youngstown,325617.0,315012.0,640629.0,16217.0,16918.0,29671.0,262811.0,60275.0,114823.0,54548.0,71728.0,76260.0,17143.0,18153.0,30958.0,248758.0,65253.0,121130.0,55877.0,68410.0,59218.0,33360.0,35071.0,60629.0,511569.0,125528.0,235953.0,110425.0,140138.0,135478.0
537,Bangor,174951.0,170115.0,345066.0,7686.0,8601.0,14404.0,144260.0,33678.0,64138.0,30460.0,40900.0,39222.0,8121.0,8973.0,14829.0,138192.0,35784.0,65048.0,29264.0,38641.0,34503.0,15807.0,17574.0,29233.0,282452.0,69462.0,129186.0,59724.0,79541.0,73725.0
538,"Rochester, Ny",5712631.0,5337088.0,11049719.0,320428.0,292550.0,485452.0,4614201.0,1379201.0,2464625.0,1085424.0,1114356.0,1035220.0,336141.0,305411.0,507489.0,4188047.0,1347576.0,2395938.0,1048362.0,1024132.0,767977.0,656569.0,597961.0,992941.0,8802248.0,2726777.0,4860563.0,2133786.0,2138488.0,1803197.0
539,Tampa-St. Pete (Sarasota),2552610.0,2407205.0,4959815.0,123779.0,129055.0,216428.0,2083348.0,492212.0,942194.0,449982.0,526569.0,614585.0,129314.0,131061.0,231035.0,1915795.0,494135.0,925678.0,431543.0,478154.0,511963.0,253093.0,260116.0,447463.0,3999143.0,986347.0,1867872.0,881525.0,1004723.0,1126548.0
540,Traverse City-Cadillac,2198459.0,2123573.0,4322032.0,122181.0,123804.0,211880.0,1740594.0,480828.0,863618.0,382790.0,456203.0,420773.0,127004.0,129297.0,223399.0,1643873.0,492905.0,866266.0,373361.0,434265.0,343342.0,249185.0,253101.0,435279.0,3384467.0,973733.0,1729884.0,756151.0,890468.0,764115.0
541,Lexington,665876.0,641950.0,1307826.0,38547.0,38500.0,63351.0,525478.0,152990.0,276729.0,123739.0,131898.0,116851.0,40537.0,39982.0,67111.0,494320.0,155405.0,278325.0,122920.0,123452.0,92543.0,79084.0,78482.0,130462.0,1019798.0,308395.0,555054.0,246659.0,255350.0,209394.0
542,Dayton,617102.0,589438.0,1206540.0,35387.0,34212.0,61481.0,486022.0,130629.0,237455.0,106826.0,125743.0,122824.0,37286.0,37103.0,64734.0,450315.0,132481.0,235782.0,103301.0,118963.0,95570.0,72673.0,71315.0,126215.0,936337.0,263110.0,473237.0,210127.0,244706.0,218394.0
543,Springfield-Holyoke,363504.0,335033.0,698537.0,16525.0,19327.0,30505.0,297147.0,90495.0,153287.0,62792.0,74941.0,68919.0,17432.0,17867.0,34459.0,265275.0,87045.0,144101.0,57056.0,67800.0,53374.0,33957.0,37194.0,64964.0,562422.0,177540.0,297388.0,119848.0,142741.0,122293.0
544,Norfolk-Portsmth-Newpt Nws,1798590.0,1732818.0,3531408.0,104000.0,101628.0,167247.0,1425715.0,413064.0,745972.0,332908.0,363270.0,316473.0,107916.0,105231.0,176418.0,1343253.0,438615.0,765261.0,326646.0,332944.0,245048.0,211916.0,206859.0,343665.0,2768968.0,851679.0,1511233.0,659554.0,696214.0,561521.0
545,Greenville-N.Bern-Washngtn,406377.0,411720.0,818097.0,24753.0,23794.0,37775.0,320055.0,98386.0,166273.0,67887.0,77723.0,76059.0,25742.0,24945.0,39936.0,321097.0,125850.0,192131.0,66281.0,69009.0,59957.0,50495.0,48739.0,77711.0,641152.0,224236.0,358404.0,134168.0,146732.0,136016.0
