,DMA Code,DMA Name,universe,only_english,total_spanish,spanish_and_english_very_well,spanish_and_english_less_than_very_well,total_french_haitan_or_cajun,french_haitan_or_cajun_and_english_very_well,french_haitan_or_cajun_and_english_less_than_very_well,total_german_or_other_west_germanic,german_or_other_west_germanic_and_english_very_well,german_or_other_west_germanic_and_english_less_than_very_well,total_russian_polish_or_other_slavic,russian_polish_or_other_slavic_and_english_very_well,russian_polish_or_other_slavic_and_english_less_than_very_well,total_other_indo_european,other_indo_european_and_english_very_well,other_indo_european_and_english_less_than_very_well,total_korean,korean_and_english_very_well,korean_and_english_less_than_very_well,total_chinese,chinese_and_english_very_well,chinese_and_english_less_than_very_well,total_tagalog,tagalog_and_english_very_well,tagalog_and_english_less_than_very_well,total_other_asian,other_asian_and_english_very_well,other_asian_and_english_less_than_very_well,total_arabic,arabic_and_english_very_well,arabic_and_english_less_than_very_well,total_other,other_and_english_very_well,other_and_english_less_than_very_well,total_english,total_english_less_than_very_well
136,673,Columbus-Tupelo-West Point,463036.0,447495.0,9829.0,5727.0,4102.0,591.0,535.0,56.0,761.0,475.0,286.0,152.0,95.0,57.0,1227.0,774.0,453.0,168.0,117.0,51.0,770.0,392.0,378.0,180.0,113.0,67.0,464.0,195.0,269.0,537.0,345.0,192.0,723.0,609.0,114.0,456933.0,6103.0
137,675,Peoria-Bloomington,1676268.0,1442892.0,164169.0,94912.0,69257.0,4757.0,2400.0,2357.0,5966.0,4816.0,1150.0,6868.0,4393.0,2475.0,17621.0,12076.0,5545.0,1768.0,756.0,1012.0,3394.0,1910.0,1484.0,5933.0,4647.0,1286.0,12531.0,8129.0,4402.0,4632.0,3570.0,1062.0,3420.0,2416.0,1004.0,1583830.0,92438.0
138,676,Duluth-Superior,1057984.0,1002063.0,19994.0,14170.0,5824.0,1535.0,1214.0,321.0,4207.0,3599.0,608.0,2584.0,1707.0,877.0,4208.0,3505.0,703.0,581.0,388.0,193.0,2680.0,1780.0,900.0,916.0,527.0,389.0,7649.0,5331.0,2318.0,765.0,565.0,200.0,9373.0,6912.0,2461.0,1042490.0,15494.0
139,678,Wichita-Hutchinson Plus,3805582.0,3342072.0,320033.0,192813.0,127220.0,5978.0,4849.0,1129.0,19564.0,15496.0,4068.0,5569.0,4052.0,1517.0,20492.0,14788.0,5704.0,4369.0,2086.0,2283.0,12804.0,5954.0,6850.0,5404.0,3636.0,1768.0,26537.0,15483.0,11054.0,6943.0,4244.0,2699.0,13245.0,8997.0,4248.0,3623127.0,182455.0
140,679,Des Moines-Ames,1078607.0,982701.0,45711.0,25261.0,20450.0,1432.0,1178.0,254.0,4045.0,3086.0,959.0,7893.0,4812.0,3081.0,6173.0,4434.0,1739.0,1319.0,506.0,813.0,5441.0,2200.0,3241.0,1025.0,517.0,508.0,10773.0,5342.0,5431.0,3285.0,2152.0,1133.0,4762.0,2694.0,2068.0,1036409.0,42198.0
141,682,Davenport-R.Island-Moline,721075.0,668285.0,32741.0,20972.0,11769.0,2459.0,1147.0,1312.0,2528.0,2114.0,414.0,1483.0,844.0,639.0,3305.0,2356.0,949.0,482.0,188.0,294.0,1247.0,475.0,772.0,1071.0,706.0,365.0,3110.0,1516.0,1594.0,1047.0,728.0,319.0,2057.0,1305.0,752.0,700995.0,20080.0
142,686,Mobile-Pensacola (Ft Walt),1353862.0,1272887.0,40478.0,27826.0,12652.0,4087.0,3248.0,839.0,3987.0,3375.0,612.0,2389.0,1584.0,805.0,5408.0,4259.0,1149.0,1673.0,791.0,882.0,2738.0,1212.0,1526.0,5279.0,3673.0,1606.0,5536.0,3204.0,2332.0,2468.0,1471.0,997.0,1656.0,1240.0,416.0,1327047.0,26815.0
143,687,Bismarck-Mnt-Dcknsn(Wlstn),1400007.0,1331366.0,22843.0,17068.0,5775.0,3474.0,2523.0,951.0,12606.0,10988.0,1618.0,3386.0,2290.0,1096.0,6566.0,4355.0,2211.0,850.0,309.0,541.0,2784.0,1622.0,1162.0,2466.0,1654.0,812.0,2606.0,1779.0,827.0,1419.0,968.0,451.0,8880.0,6855.0,2025.0,1382033.0,17974.0
144,691,Huntsville-Decatur (Flor),3134634.0,2950242.0,116467.0,62909.0,53558.0,6153.0,4361.0,1792.0,6287.0,5397.0,890.0,2748.0,1977.0,771.0,11545.0,8645.0,2900.0,5701.0,2330.0,3371.0,7660.0,3938.0,3722.0,2429.0,1740.0,689.0,8186.0,5441.0,2745.0,5790.0,4026.0,1764.0,5399.0,3914.0,1485.0,3057788.0,76846.0
145,692,Beaumont-Port Arthur,434820.0,369971.0,50255.0,32112.0,18143.0,2225.0,1782.0,443.0,434.0,413.0,21.0,179.0,166.0,13.0,2613.0,1758.0,855.0,146.0,102.0,44.0,507.0,286.0,221.0,816.0,536.0,280.0,1380.0,863.0,517.0,555.0,403.0,152.0,1389.0,1262.0,127.0,411558.0,23262.0
146,693,Little Rock-Pine Bluff,1381394.0,1304516.0,52434.0,28798.0,23636.0,1765.0,1551.0,214.0,2319.0,2043.0,276.0,1414.0,1108.0,306.0,4888.0,3455.0,1433.0,1187.0,781.0,406.0,3596.0,1928.0,1668.0,1306.0,918.0,388.0,3210.0,2019.0,1191.0,1821.0,1336.0,485.0,1604.0,1232.0,372.0,1350069.0,31325.0
147,698,Montgomery-Selma,591581.0,569897.0,10928.0,6005.0,4923.0,892.0,645.0,247.0,684.0,547.0,137.0,230.0,192.0,38.0,1905.0,1037.0,868.0,2428.0,803.0,1625.0,1324.0,442.0,882.0,254.0,215.0,39.0,1292.0,873.0,419.0,514.0,376.0,138.0,638.0,558.0,80.0,581781.0,9800.0
148,702,La Crosse-Eau Claire,524483.0,488551.0,11337.0,6395.0,4942.0,809.0,530.0,279.0,11976.0,8206.0,3770.0,732.0,591.0,141.0,1365.0,1121.0,244.0,207.0,110.0,97.0,1040.0,366.0,674.0,368.0,275.0,93.0,6893.0,3675.0,3218.0,138.0,90.0,48.0,995.0,716.0,279.0,510666.0,13817.0
149,705,Wausau-Rhinelander,422860.0,399476.0,6797.0,4443.0,2354.0,441.0,365.0,76.0,3987.0,3158.0,829.0,1191.0,819.0,372.0,1328.0,1151.0,177.0,152.0,55.0,97.0,447.0,262.0,185.0,305.0,253.0,52.0,7734.0,4576.0,3158.0,101.0,59.0,42.0,648.0,587.0,61.0,415277.0,7583.0
150,709,Tyler-Longview(Lfkn&Ncgd),701901.0,594080.0,97442.0,56383.0,41059.0,764.0,644.0,120.0,1152.0,1048.0,104.0,351.0,295.0,56.0,2012.0,1349.0,663.0,292.0,206.0,86.0,1010.0,665.0,345.0,1215.0,736.0,479.0,1719.0,1057.0,662.0,224.0,157.0,67.0,900.0,541.0,359.0,657512.0,44389.0
151,710,Hattiesburg-Laurel,278511.0,270070.0,5354.0,3135.0,2219.0,291.0,147.0,144.0,250.0,207.0,43.0,66.0,66.0,0.0,429.0,338.0,91.0,360.0,250.0,110.0,422.0,253.0,169.0,429.0,244.0,185.0,266.0,109.0,157.0,292.0,187.0,105.0,120.0,75.0,45.0,275201.0,3310.0
152,711,Meridian,170521.0,164224.0,2245.0,1534.0,711.0,143.0,83.0,60.0,139.0,139.0,0.0,109.0,20.0,89.0,289.0,280.0,9.0,41.0,0.0,41.0,471.0,130.0,341.0,69.0,59.0,10.0,25.0,25.0,0.0,82.0,37.0,45.0,2595.0,2205.0,390.0,168787.0,1734.0
153,716,Baton Rouge,391312.0,369775.0,11568.0,7337.0,4231.0,6472.0,5359.0,1113.0,689.0,599.0,90.0,115.0,84.0,31.0,555.0,426.0,129.0,114.0,85.0,29.0,356.0,196.0,160.0,155.0,123.0,32.0,471.0,321.0,150.0,114.0,90.0,24.0,172.0,171.0,1.0,384900.0,6412.0
154,717,Quincy-Hannibal-Keokuk,5994443.0,4225403.0,1038317.0,620654.0,417663.0,23694.0,18820.0,4874.0,22069.0,18559.0,3510.0,212605.0,110745.0,101860.0,170901.0,113105.0,57796.0,27576.0,13011.0,14565.0,65879.0,28635.0,37244.0,48428.0,34427.0,14001.0,51451.0,33183.0,18268.0,49682.0,30669.0,19013.0,45759.0,31374.0,14385.0,5284038.0,710405.0
