,DMA Code,DMA Name,universe,native,foreign_born
106,630,Birmingham (Ann And Tusc),3986203.0,3851715.0,134488.0
107,631,Ottumwa-Kirksville,125417.0,118140.0,7277.0
108,632,Paducah-Cape Girard-Harsbg,2078512.0,2026314.0,52198.0
109,633,Odessa-Midland,493889.0,426458.0,67431.0
110,634,Amarillo,544505.0,478690.0,65815.0
111,635,Austin,2327874.0,1994200.0,333674.0
112,636,Harlingen-Wslco-Brnsvl-Mca,1368723.0,1026005.0,342718.0
113,637,Cedar Rapids-Wtrlo-Iwc&Dub,908416.0,863507.0,44909.0
114,638,St. Joseph,160578.0,155917.0,4661.0
115,639,"Jackson, Tn",245753.0,240922.0,4831.0
116,640,Memphis,7187362.0,6896354.0,291008.0
117,641,San Antonio,8729083.0,7555565.0,1173518.0
118,642,"Lafayette, La",606497.0,588521.0,17976.0
119,643,Lake Charles,272780.0,264606.0,8174.0
120,644,"Alexandria, La",242495.0,236504.0,5991.0
121,647,Greenwood-Greenville,175788.0,173767.0,2021.0
122,648,Champaign&Sprngfld-Decatur,949255.0,906004.0,43251.0
123,649,Evansville,1801958.0,1762924.0,39034.0
124,650,Oklahoma City,3352076.0,3107744.0,244332.0
125,651,Lubbock,471210.0,431151.0,40059.0
126,652,Omaha,1150846.0,1063920.0,86926.0
127,656,Panama City,392802.0,371811.0,20991.0
128,657,Sherman-Ada,350635.0,336420.0,14215.0
129,658,Green Bay-Appleton,4792855.0,4538152.0,254703.0
130,659,Nashville,4821036.0,4532136.0,288900.0
131,661,San Angelo,2395071.0,2069237.0,325834.0
132,662,Abilene-Sweetwater,313362.0,295924.0,17438.0
133,669,Madison,1014539.0,953465.0,61074.0
134,670,Ft. Smith-Fay-Sprngdl-Rgrs,884723.0,806426.0,78297.0
135,671,Tulsa,2106765.0,2007755.0,99010.0
136,673,Columbus-Tupelo-West Point,491566.0,481870.0,9696.0
137,675,Peoria-Bloomington,1766218.0,1623171.0,143047.0
138,676,Duluth-Superior,1134792.0,1094095.0,40697.0
139,678,Wichita-Hutchinson Plus,4085039.0,3793981.0,291058.0
140,679,Des Moines-Ames,1180898.0,1104162.0,76736.0
141,682,Davenport-R.Island-Moline,757358.0,725018.0,32340.0
142,686,Mobile-Pensacola (Ft Walt),1483893.0,1421891.0,62002.0
143,687,Bismarck-Mnt-Dcknsn(Wlstn),1534279.0,1483020.0,51259.0
144,691,Huntsville-Decatur (Flor),3377399.0,3246204.0,131195.0
145,692,Beaumont-Port Arthur,465142.0,429084.0,36058.0
146,693,Little Rock-Pine Bluff,1474389.0,1422992.0,51397.0
147,698,Montgomery-Selma,623512.0,605795.0,17717.0
148,702,La Crosse-Eau Claire,560868.0,545980.0,14888.0
149,705,Wausau-Rhinelander,446338.0,434155.0,12183.0
150,709,Tyler-Longview(Lfkn&Ncgd),764162.0,704267.0,59895.0
151,710,Hattiesburg-Laurel,298536.0,292410.0,6126.0
152,711,Meridian,176813.0,174285.0,2528.0
153,716,Baton Rouge,423645.0,412672.0,10973.0
154,717,Quincy-Hannibal-Keokuk,6304366.0,5198104.0,1106262.0
155,718,"Jackson, Ms",2198330.0,2146118.0,52212.0
156,722,Lincoln & Hastings-Krny,741889.0,691004.0,50885.0
157,724,Fargo,995867.0,955501.0,40366.0
158,725,Sioux Falls(Mitchell),1554281.0,1484334.0,69947.0
159,734,Jonesboro,220650.0,215049.0,5601.0
160,736,Bowling Green,228708.0,215447.0,13261.0
161,737,Mankato,312217.0,301532.0,10685.0
162,740,North Platte,1960350.0,1816647.0,143703.0
163,743,Anchorage,564246.0,519678.0,44568.0
164,744,Honolulu,1419638.0,1159969.0,259669.0
165,745,Fairbanks,105366.0,99906.0,5460.0
166,746,Biloxi-Gulfport,367323.0,353847.0,13476.0
167,747,Juneau,33399.0,30586.0,2813.0
168,749,Laredo,289090.0,215629.0,73461.0
169,751,Denver,4571290.0,4095942.0,475348.0
170,752,Colorado Springs-Pueblo,1011377.0,952780.0,58597.0
171,753,Phoenix (Prescott),5678907.0,4947126.0,731781.0
172,754,Butte-Bozeman,192345.0,187275.0,5070.0
173,755,Great Falls,168029.0,165179.0,2850.0
174,756,Billings,289034.0,283552.0,5482.0
175,757,Boise,838345.0,783463.0,54882.0
176,758,Idaho Fals-Pocatllo(Jcksn),397437.0,377140.0,20297.0
177,759,Cheyenne-Scottsbluff,153168.0,148327.0,4841.0
178,760,Twin Falls,198287.0,174580.0,23707.0
179,762,Missoula,314329.0,306076.0,8253.0
180,764,Rapid City,269199.0,263346.0,5853.0
181,765,El Paso (Las Cruces),1684377.0,1406639.0,277738.0
182,766,Helena,320189.0,314429.0,5760.0
183,767,Casper-Riverton,146103.0,143446.0,2657.0
184,770,Salt Lake City,3332635.0,3058766.0,273869.0
185,771,Yuma-El Centro,392511.0,281534.0,110977.0
186,773,Grand Junction-Montrose,195242.0,185773.0,9469.0
187,789,Tucson (Sierra Vista),1211512.0,1053285.0,158227.0
188,790,Albuquerque-Santa Fe,2146636.0,1985965.0,160671.0
189,798,Glendive,9986.0,9801.0,185.0
190,801,Eugene,644107.0,608545.0,35562.0
191,802,Eureka,163793.0,154189.0,9604.0
192,803,Los Angeles,24911947.0,17756770.0,7155177.0
193,807,San Francisco-Oak-San Jose,7420358.0,5084261.0,2336097.0
194,810,Yakima-Pasco-Rchlnd-Knnwck,741671.0,635995.0,105676.0
195,811,Reno,731902.0,641742.0,90160.0
196,813,Medford-Klamath Falls,447785.0,424274.0,23511.0
197,819,Seattle-Tacoma,5403387.0,4530420.0,872967.0
198,820,"Portland, Or",3438408.0,3047310.0,391098.0
199,821,"Bend, Or",191749.0,183454.0,8295.0
200,825,San Diego,3323970.0,2561710.0,762260.0
201,828,Monterey-Salinas,767694.0,582875.0,184819.0
202,839,Las Vegas,2279557.0,1782770.0,496787.0
203,855,Santabarbra-Sanmar-Sanluob,11939238.0,8202915.0,3736323.0
204,862,Sacramnto-Stkton-Modesto,3901858.0,3153659.0,748199.0
205,866,Fresno-Visalia,2052154.0,1616114.0,436040.0
206,868,Chico-Redding,516241.0,477513.0,38728.0
207,881,Spokane,1204500.0,1132650.0,71850.0
