,DMA Code,DMA Name,universe,owner_occupied,renter_occupied
94,613,Minneapolis-St. Paul,3640970.0,2561465.0,1079505.0
95,616,Kansas City,1004203.0,651854.0,352349.0
96,617,Milwaukee,934203.0,585503.0,348700.0
97,618,Houston,2536769.0,1557202.0,979567.0
98,619,"Springfield, Mo",635684.0,438345.0,197339.0
99,622,New Orleans,684250.0,456269.0,227981.0
100,623,Dallas-Ft. Worth,2864380.0,1744644.0,1119736.0
101,624,Sioux City,1433160.0,1020940.0,412220.0
102,625,Waco-Temple-Bryan,5143183.0,3088477.0,2054706.0
103,626,Victoria,32520.0,21872.0,10648.0
104,627,Wichita Falls & Lawton,158113.0,100683.0,57430.0
105,628,Monroe-El Dorado,173023.0,114408.0,58615.0
106,630,Birmingham (Ann And Tusc),1545288.0,1086381.0,458907.0
107,631,Ottumwa-Kirksville,47752.0,33567.0,14185.0
108,632,Paducah-Cape Girard-Harsbg,826535.0,562325.0,264210.0
109,633,Odessa-Midland,163344.0,110860.0,52484.0
110,634,Amarillo,195925.0,127367.0,68558.0
111,635,Austin,855075.0,512267.0,342808.0
112,636,Harlingen-Wslco-Brnsvl-Mca,393009.0,265963.0,127046.0
113,637,Cedar Rapids-Wtrlo-Iwc&Dub,367298.0,263695.0,103603.0
114,638,St. Joseph,61848.0,40522.0,21326.0
115,639,"Jackson, Tn",95846.0,65104.0,30742.0
116,640,Memphis,2756880.0,1810308.0,946572.0
117,641,San Antonio,2933037.0,1967266.0,965771.0
118,642,"Lafayette, La",226574.0,156303.0,70271.0
119,643,Lake Charles,103278.0,73412.0,29866.0
120,644,"Alexandria, La",88862.0,56718.0,32144.0
121,647,Greenwood-Greenville,65058.0,38264.0,26794.0
122,648,Champaign&Sprngfld-Decatur,391614.0,264924.0,126690.0
123,649,Evansville,702890.0,507268.0,195622.0
124,650,Oklahoma City,1259660.0,813347.0,446313.0
125,651,Lubbock,170451.0,102614.0,67837.0
126,652,Omaha,451736.0,301046.0,150690.0
127,656,Panama City,153489.0,109874.0,43615.0
128,657,Sherman-Ada,131709.0,90030.0,41679.0
129,658,Green Bay-Appleton,1972375.0,1309531.0,662844.0
130,659,Nashville,1836187.0,1193593.0,642594.0
131,661,San Angelo,799931.0,533794.0,266137.0
132,662,Abilene-Sweetwater,115014.0,78178.0,36836.0
133,669,Madison,419536.0,272116.0,147420.0
134,670,Ft. Smith-Fay-Sprngdl-Rgrs,333573.0,212792.0,120781.0
135,671,Tulsa,805769.0,547891.0,257878.0
136,673,Columbus-Tupelo-West Point,186341.0,129216.0,57125.0
137,675,Peoria-Bloomington,684601.0,488143.0,196458.0
138,676,Duluth-Superior,459340.0,356735.0,102605.0
139,678,Wichita-Hutchinson Plus,1600913.0,1062879.0,538034.0
140,679,Des Moines-Ames,474551.0,330203.0,144348.0
141,682,Davenport-R.Island-Moline,311355.0,224808.0,86547.0
142,686,Mobile-Pensacola (Ft Walt),561334.0,384777.0,176557.0
143,687,Bismarck-Mnt-Dcknsn(Wlstn),639043.0,410596.0,228447.0
144,691,Huntsville-Decatur (Flor),1303235.0,888120.0,415115.0
145,692,Beaumont-Port Arthur,172728.0,119074.0,53654.0
146,693,Little Rock-Pine Bluff,576111.0,385649.0,190462.0
147,698,Montgomery-Selma,240821.0,159408.0,81413.0
148,702,La Crosse-Eau Claire,225818.0,158287.0,67531.0
149,705,Wausau-Rhinelander,193743.0,143736.0,50007.0
150,709,Tyler-Longview(Lfkn&Ncgd),271710.0,185231.0,86479.0
151,710,Hattiesburg-Laurel,111430.0,78774.0,32656.0
152,711,Meridian,68834.0,48845.0,19989.0
