,DMA Code,DMA Name,total,0_10000,10000_14999,15000_19999,20000_24999,25000_29999,30000_34999,35000_39999,40000_49999,50000_59999,60000_69999,70000_79999,80000_89999,90000_99999,100000_124999,125000_149999,150000_174999,175000_199999,200000_249999,250000_299999,300000_399999,400000_499999,500000_749999,750000_999999,1000000_1499999,1500000_1999999,2000000_more
193,807,San Francisco-Oak-San Jose,1479004.0,10822.0,1713.0,1143.0,1134.0,1322.0,1809.0,1037.0,2463.0,4327.0,3196.0,3274.0,3628.0,2967.0,11311.0,4907.0,8329.0,5520.0,17921.0,20093.0,66034.0,92651.0,307994.0,306672.0,305557.0,134778.0,158402.0
194,810,Yakima-Pasco-Rchlnd-Knnwck,168134.0,3112.0,1406.0,1566.0,1184.0,872.0,659.0,712.0,1053.0,1566.0,1530.0,1808.0,2613.0,2743.0,10054.0,11961.0,15545.0,12561.0,25246.0,20174.0,27464.0,11600.0,9612.0,1772.0,768.0,220.0,333.0
195,811,Reno,180269.0,2609.0,865.0,859.0,891.0,595.0,687.0,643.0,1124.0,1580.0,1205.0,1726.0,1582.0,1310.0,4521.0,4206.0,8596.0,6460.0,18151.0,21136.0,40925.0,23453.0,22943.0,6994.0,3868.0,1233.0,2107.0
196,813,Medford-Klamath Falls,123823.0,2335.0,1591.0,1044.0,1646.0,708.0,757.0,674.0,1558.0,1310.0,1193.0,1342.0,1377.0,1387.0,5033.0,3797.0,7095.0,7536.0,16431.0,15971.0,23176.0,12143.0,10689.0,2492.0,1702.0,195.0,641.0
197,819,Seattle-Tacoma,1322796.0,10974.0,4035.0,4074.0,4289.0,3808.0,3286.0,2517.0,4622.0,4556.0,4661.0,4749.0,5757.0,4736.0,17809.0,17788.0,31138.0,28996.0,93367.0,118593.0,257910.0,199808.0,263264.0,128411.0,63594.0,20044.0,20010.0
198,820,"Portland, Or",835095.0,8695.0,3280.0,3088.0,3437.0,3294.0,3119.0,2216.0,4261.0,3912.0,3162.0,3129.0,4197.0,4241.0,13662.0,14234.0,26347.0,26461.0,74636.0,94262.0,202803.0,138936.0,135591.0,36875.0,12805.0,3926.0,4526.0
199,821,"Bend, Or",52335.0,595.0,59.0,245.0,111.0,143.0,61.0,282.0,139.0,488.0,178.0,243.0,358.0,113.0,609.0,495.0,1146.0,1159.0,3438.0,5422.0,12183.0,7885.0,10467.0,3764.0,1975.0,338.0,439.0
200,825,San Diego,609350.0,4780.0,1176.0,585.0,1755.0,1021.0,1404.0,1130.0,2526.0,2493.0,2454.0,2288.0,2221.0,1416.0,4941.0,2826.0,4048.0,2852.0,10436.0,15012.0,59195.0,99038.0,212034.0,91317.0,47257.0,15953.0,19192.0
201,828,Monterey-Salinas,136453.0,1072.0,178.0,195.0,94.0,190.0,416.0,180.0,395.0,364.0,310.0,597.0,310.0,270.0,1507.0,415.0,978.0,800.0,2603.0,3269.0,12267.0,19023.0,38188.0,26042.0,16783.0,5320.0,4687.0
202,839,Las Vegas,458471.0,5587.0,1699.0,1944.0,1610.0,1640.0,1264.0,861.0,1712.0,2156.0,3182.0,2528.0,4026.0,4001.0,14760.0,15333.0,26596.0,24716.0,68045.0,74455.0,103328.0,46530.0,34879.0,8994.0,4464.0,1620.0,2541.0
203,855,Santabarbra-Sanmar-Sanluob,1912007.0,15531.0,3625.0,2863.0,3869.0,3486.0,4093.0,2832.0,6763.0,7285.0,6400.0,4683.0,5614.0,3807.0,14357.0,8962.0,19100.0,15330.0,57937.0,79578.0,239532.0,290494.0,573278.0,243909.0,145173.0,62359.0,91147.0
204,862,Sacramnto-Stkton-Modesto,814844.0,7772.0,2909.0,2137.0,3123.0,2919.0,2247.0,1762.0,4211.0,2983.0,2937.0,2778.0,3513.0,3061.0,10733.0,9129.0,20448.0,15947.0,63563.0,90575.0,206129.0,145223.0,147019.0,39896.0,15122.0,3637.0,5071.0
205,866,Fresno-Visalia,346411.0,3526.0,1765.0,1622.0,1568.0,1306.0,1378.0,639.0,2003.0,2177.0,1753.0,2792.0,4165.0,4301.0,14693.0,14975.0,26844.0,23445.0,57704.0,53451.0,66233.0,26759.0,21438.0,6118.0,2878.0,915.0,1963.0
206,868,Chico-Redding,125170.0,2052.0,1347.0,991.0,1052.0,806.0,859.0,512.0,842.0,1194.0,816.0,1278.0,1365.0,1216.0,4730.0,4291.0,9069.0,6503.0,17975.0,14783.0,24929.0,12388.0,10643.0,3103.0,1357.0,400.0,669.0
207,881,Spokane,316450.0,4551.0,2050.0,1763.0,1635.0,1225.0,1742.0,1058.0,2310.0,3517.0,3653.0,4134.0,5136.0,4422.0,16769.0,17835.0,29104.0,22328.0,47360.0,41212.0,52626.0,24309.0,19085.0,4934.0,2041.0,600.0,1051.0
