,DMA Code,DMA Name,universe,in_labor_force,civilian,civilian_employed,civilian_unemployed,armed_forces,not_in_labor_force
179,762,Missoula,244272.0,153069.0,152931.0,144182.0,8749.0,138.0,91203.0
180,764,Rapid City,206895.0,133691.0,131450.0,125618.0,5832.0,2241.0,73204.0
181,765,El Paso (Las Cruces),1288401.0,764235.0,744689.0,688560.0,56129.0,19546.0,524166.0
182,766,Helena,252555.0,153905.0,153652.0,145975.0,7677.0,253.0,98650.0
183,767,Casper-Riverton,116337.0,77423.0,77345.0,73166.0,4179.0,78.0,38914.0
184,770,Salt Lake City,2315875.0,1572843.0,1568663.0,1499849.0,68814.0,4180.0,743032.0
185,771,Yuma-El Centro,290804.0,159007.0,155200.0,134648.0,20552.0,3807.0,131797.0
186,773,Grand Junction-Montrose,152192.0,93456.0,93416.0,85965.0,7451.0,40.0,58736.0
187,789,Tucson (Sierra Vista),950668.0,548425.0,539555.0,494303.0,45252.0,8870.0,402243.0
188,790,Albuquerque-Santa Fe,1687699.0,976951.0,966138.0,891123.0,75015.0,10813.0,710748.0
189,798,Glendive,8468.0,5500.0,5500.0,5431.0,69.0,0.0,2968.0
190,801,Eugene,520357.0,297791.0,297292.0,274011.0,23281.0,499.0,222566.0
191,802,Eureka,134160.0,75203.0,75100.0,68334.0,6766.0,103.0,58957.0
192,803,Los Angeles,19785149.0,12713521.0,12688620.0,11763364.0,925256.0,24901.0,7071628.0
193,807,San Francisco-Oak-San Jose,5976958.0,3987670.0,3982961.0,3749390.0,233571.0,4709.0,1989288.0
194,810,Yakima-Pasco-Rchlnd-Knnwck,542134.0,335407.0,334678.0,312441.0,22237.0,729.0,206727.0
195,811,Reno,573357.0,355272.0,353865.0,328869.0,24996.0,1407.0,218085.0
196,813,Medford-Klamath Falls,358137.0,192374.0,191912.0,176084.0,15828.0,462.0,165763.0
197,819,Seattle-Tacoma,4157161.0,2725453.0,2680466.0,2524107.0,156359.0,44987.0,1431708.0
198,820,"Portland, Or",2648204.0,1701300.0,1699182.0,1588741.0,110441.0,2118.0,946904.0
199,821,"Bend, Or",142265.0,88594.0,88594.0,83721.0,4873.0,0.0,53671.0
200,825,San Diego,2636785.0,1725355.0,1652831.0,1536073.0,116758.0,72524.0,911430.0
201,828,Monterey-Salinas,601057.0,374027.0,368049.0,343974.0,24075.0,5978.0,227030.0
202,839,Las Vegas,1708813.0,1095617.0,1089277.0,998377.0,90900.0,6340.0,613196.0
203,855,Santabarbra-Sanmar-Sanluob,9552058.0,6091127.0,6085205.0,5598109.0,487096.0,5922.0,3460931.0
204,862,Sacramnto-Stkton-Modesto,2962505.0,1792760.0,1787577.0,1626080.0,161497.0,5183.0,1169745.0
205,866,Fresno-Visalia,1493400.0,879523.0,874286.0,781092.0,93194.0,5237.0,613877.0
206,868,Chico-Redding,419603.0,227581.0,227422.0,208289.0,19133.0,159.0,192022.0
207,881,Spokane,923383.0,540691.0,537821.0,503329.0,34492.0,2870.0,382692.0
