Market,DMA Name,universe
790,Albuquerque-Santa Fe,151445.0
798,Glendive,838.0
801,Eugene,51334.0
802,Eureka,10250.0
803,Los Angeles,824726.0
807,San Francisco-Oak-San Jose,237254.0
810,Yakima-Pasco-Rchlnd-Knnwck,41186.0
811,Reno,56483.0
813,Medford-Klamath Falls,39696.0
819,Seattle-Tacoma,372023.0
820,"Portland, Or",210925.0
821,"Bend, Or",13755.0
825,San Diego,210611.0
828,Monterey-Salinas,29337.0
839,Las Vegas,147475.0
855,Santabarbra-Sanmar-Sanluob,337113.0
862,Sacramnto-Stkton-Modesto,192047.0
866,Fresno-Visalia,75684.0
868,Chico-Redding,35021.0
881,Spokane,95641.0
