,DMA Code,DMA Name,universe,male_bachelors_degree,male_masters_degree,male_professional_school_degree,male_doctorate_degree,female_bachelors_degree,female_masters_degree,female_professional_school_degree,female_doctorate_degree,male_bachelors_or_higher,female_bachelors_or_higher,total_bachelors_or_higher
35,535,"Columbus, Oh",1743416.0,178040.0,66936.0,20659.0,13907.0,190355.0,91390.0,14744.0,9880.0,279542.0,306369.0,585911.0
36,536,Youngstown,458809.0,30756.0,9339.0,2913.0,1587.0,32362.0,16446.0,1594.0,1255.0,44595.0,51657.0,96252.0
37,537,Bangor,253530.0,19090.0,6607.0,2190.0,2106.0,25219.0,11402.0,1716.0,1389.0,29993.0,39726.0,69719.0
38,538,"Rochester, Ny",7838504.0,834698.0,401286.0,144490.0,72913.0,928559.0,587061.0,122874.0,63197.0,1453387.0,1701691.0,3155078.0
39,539,Tampa-St. Pete (Sarasota),3628883.0,324863.0,124446.0,41525.0,23513.0,350438.0,152187.0,30027.0,17831.0,514347.0,550483.0,1064830.0
40,540,Traverse City-Cadillac,2962334.0,217232.0,97831.0,30076.0,21961.0,253427.0,132463.0,20994.0,15220.0,367100.0,422104.0,789204.0
41,541,Lexington,880869.0,62806.0,25892.0,10177.0,6841.0,68562.0,43442.0,8260.0,6170.0,105716.0,126434.0,232150.0
42,542,Dayton,826472.0,59755.0,30113.0,6389.0,4990.0,68944.0,36574.0,4618.0,2991.0,101247.0,113127.0,214374.0
43,543,Springfield-Holyoke,472067.0,40008.0,18149.0,5203.0,4958.0,48668.0,31289.0,3659.0,4907.0,68318.0,88523.0,156841.0
44,544,Norfolk-Portsmth-Newpt Nws,2423629.0,217714.0,105926.0,28513.0,20187.0,259238.0,136958.0,22125.0,15359.0,372340.0,433680.0,806020.0
45,545,Greenville-N.Bern-Washngtn,528867.0,37078.0,12128.0,3961.0,2687.0,42255.0,19576.0,2659.0,2172.0,55854.0,66662.0,122516.0
46,546,"Columbia, Sc",745627.0,60502.0,22606.0,7089.0,5980.0,73129.0,39643.0,5426.0,4994.0,96177.0,123192.0,219369.0
47,547,Toledo,718302.0,50406.0,19052.0,5841.0,3682.0,59723.0,29565.0,3832.0,3118.0,78981.0,96238.0,175219.0
48,548,West Palm Beach-Ft. Pierce,2116295.0,173714.0,73973.0,28195.0,14237.0,189783.0,86140.0,14740.0,9839.0,290119.0,300502.0,590621.0
49,549,Watertown,1222940.0,100209.0,50301.0,12828.0,9874.0,104135.0,79872.0,10019.0,6833.0,173212.0,200859.0,374071.0
50,550,Wilmington,374991.0,36628.0,12026.0,4357.0,2711.0,43111.0,17366.0,3409.0,1783.0,55722.0,65669.0,121391.0
51,551,Lansing,451435.0,39491.0,16172.0,5285.0,5201.0,43905.0,23227.0,3902.0,3439.0,66149.0,74473.0,140622.0
52,552,Presque Isle,50068.0,2998.0,991.0,321.0,188.0,3833.0,1349.0,144.0,73.0,4498.0,5399.0,9897.0
53,553,Marquette,148708.0,12773.0,4162.0,1217.0,1119.0,13175.0,5257.0,642.0,690.0,19271.0,19764.0,39035.0
54,554,Wheeling-Steubenville,236453.0,12651.0,4955.0,1657.0,769.0,14301.0,6993.0,837.0,665.0,20032.0,22796.0,42828.0
55,555,Syracuse,614687.0,53595.0,24627.0,7500.0,7865.0,55125.0,40737.0,5704.0,5434.0,93587.0,107000.0,200587.0
56,556,Richmond-Petersburg,2293643.0,250800.0,129732.0,32111.0,25704.0,286055.0,157065.0,26240.0,19624.0,438347.0,488984.0,927331.0
57,557,Knoxville,1518392.0,110551.0,43112.0,17792.0,12335.0,120623.0,64298.0,13419.0,9032.0,183790.0,207372.0,391162.0
58,558,Lima,122874.0,6775.0,2762.0,887.0,321.0,8227.0,4306.0,537.0,300.0,10745.0,13370.0,24115.0
59,559,Bluefield-Beckley-Oak Hill,1501550.0,89059.0,33759.0,10924.0,8224.0,99329.0,57551.0,7025.0,6064.0,141966.0,169969.0,311935.0
60,560,Raleigh-Durham (Fayetvlle),2194468.0,229812.0,96034.0,26978.0,25421.0,273832.0,133374.0,23114.0,20063.0,378245.0,450383.0,828628.0
61,561,Jacksonville,2447991.0,202217.0,75024.0,23826.0,12518.0,226998.0,88988.0,17461.0,9724.0,313585.0,343171.0,656756.0
62,563,Grand Rapids-Kalmzoo-B.Crk,1972724.0,181650.0,67965.0,18438.0,14229.0,193270.0,88790.0,12126.0,9930.0,282282.0,304116.0,586398.0
63,564,Charleston-Huntington,784870.0,37806.0,15416.0,5452.0,3703.0,46041.0,27386.0,4066.0,2405.0,62377.0,79898.0,142275.0
64,565,Elmira (Corning),169673.0,9935.0,5288.0,1109.0,1393.0,11338.0,8970.0,892.0,604.0,17725.0,21804.0,39529.0
65,566,Harrisburg-Lncstr-Leb-York,1408697.0,118035.0,44440.0,12566.0,7980.0,126962.0,60251.0,9528.0,5964.0,183021.0,202705.0,385726.0
66,567,Greenvll-Spart-Ashevll-And,8697481.0,798675.0,296411.0,89549.0,68154.0,939146.0,424994.0,69038.0,50477.0,1252789.0,1483655.0,2736444.0
67,569,Harrisonburg,116892.0,8257.0,3216.0,1060.0,772.0,9611.0,4425.0,502.0,626.0,13305.0,15164.0,28469.0
68,570,Myrtle Beach-Florence,566556.0,33605.0,10937.0,3552.0,2433.0,40514.0,20015.0,2563.0,1775.0,50527.0,64867.0,115394.0
69,571,Ft. Myers-Naples,4754863.0,447530.0,176940.0,72151.0,32941.0,500424.0,205684.0,53885.0,26277.0,729562.0,786270.0,1515832.0
70,573,Roanoke-Lynchburg,601911.0,40843.0,17170.0,4678.0,5965.0,50719.0,25108.0,2641.0,3715.0,68656.0,82183.0,150839.0
71,574,Johnstown-Altoona-St Colge,521794.0,36872.0,13897.0,4140.0,5986.0,39650.0,19903.0,2326.0,3578.0,60895.0,65457.0,126352.0
72,575,Chattanooga,2880547.0,273235.0,95282.0,32749.0,23449.0,299815.0,134504.0,25538.0,17916.0,424715.0,477773.0,902488.0
73,576,Salisbury,318361.0,24732.0,10752.0,3096.0,2311.0,27238.0,16599.0,1774.0,1759.0,40891.0,47370.0,88261.0
74,577,Wilkes Barre-Scranton-Hztn,4234377.0,375862.0,151874.0,46806.0,33115.0,409202.0,213537.0,32864.0,26105.0,607657.0,681708.0,1289365.0
75,581,Terre Haute,254603.0,13230.0,4841.0,1030.0,1067.0,15947.0,8480.0,806.0,801.0,20168.0,26034.0,46202.0
76,582,"Lafayette, In",113247.0,12350.0,5466.0,1200.0,3162.0,12237.0,6927.0,976.0,1426.0,22178.0,21566.0,43744.0
77,583,Alpena,29730.0,1595.0,700.0,190.0,43.0,1871.0,848.0,96.0,34.0,2528.0,2849.0,5377.0
78,584,Charlottesville,142904.0,16121.0,8305.0,2591.0,2983.0,18659.0,10650.0,2124.0,2111.0,30000.0,33544.0,63544.0
79,588,South Bend-Elkhart,2080991.0,162296.0,58483.0,18772.0,11971.0,181915.0,83594.0,13271.0,7712.0,251522.0,286492.0,538014.0
80,592,Gainesville,219615.0,19333.0,8538.0,4243.0,4882.0,22940.0,12572.0,3387.0,3548.0,36996.0,42447.0,79443.0
