,DMA Code,DMA Name,gini_index
0,500,Portland-Auburn,0.4376824605390395
1,501,New York,0.48946283825827214
2,502,Binghamton,0.4556907892363741
3,503,Macon,0.480481202155017
4,504,Philadelphia,0.4699274712494185
5,505,Detroit,0.4568436278185733
6,506,Boston (Manchester),0.46729594684256043
7,507,Savannah,0.46531927476149515
8,508,Pittsburgh,0.46193127597463757
9,509,Ft. Wayne,0.4250195113313599
10,510,Cleveland-Akron (Canton),0.4655302745436907
11,511,"Washington, Dc (Hagrstwn)",0.4279121382288829
12,512,Baltimore,0.44129282962047095
13,513,Flint-Saginaw-Bay City,0.45611061702013245
14,514,Buffalo,0.4685106202610705
15,515,Cincinnati,0.45982127706543613
16,516,Erie,0.44581229947602785
17,517,Charlotte,0.4655953248788932
18,518,Greensboro-H.Point-W.Salem,0.4648489087239026
19,519,"Charleston, Sc",0.472588269731395
20,520,Augusta-Aiken,0.4607154130282504
21,521,Providence-New Bedford,0.46011231590421064
22,522,"Columbus, Ga (Opelika, Al)",0.4843202399599446
23,523,Burlington-Plattsburgh,0.4453747285114892
24,524,Atlanta,0.45332584614585475
25,525,"Albany, Ga",0.4712511351786957
26,526,Utica,0.43102062265150176
27,527,Indianapolis,0.44277535243918836
28,528,Miami-Ft. Lauderdale,0.5061114939683731
29,529,Louisville,0.449205245032978
30,530,Tallahassee-Thomasville,0.4819335958252008
31,531,"Tri-Cities, Tn-Va",0.4687850066398812
32,532,Albany-Schenectady-Troy,0.44129883671975373
33,533,Hartford & New Haven,0.46255181957648245
34,534,Orlando-Daytona Bch-Melbrn,0.45615430102454585
35,535,"Columbus, Oh",0.44368085321293194
36,536,Youngstown,0.45276867266389753
37,537,Bangor,0.4477445984246492
38,538,"Rochester, Ny",0.49727653977445035
39,539,Tampa-St. Pete (Sarasota),0.47330771375545255
40,540,Traverse City-Cadillac,0.46742572826855516
41,541,Lexington,0.47323282508529424
42,542,Dayton,0.43908683292721334
43,543,Springfield-Holyoke,0.4675803456366663
44,544,Norfolk-Portsmth-Newpt Nws,0.4346773748034778
45,545,Greenville-N.Bern-Washngtn,0.44808319722477896
46,546,"Columbia, Sc",0.4664382953173742
47,547,Toledo,0.4483477212228001
48,548,West Palm Beach-Ft. Pierce,0.4791235334173055
49,549,Watertown,0.438948864037937
50,550,Wilmington,0.47859365671498144
51,551,Lansing,0.4472872677182289
52,552,Presque Isle,0.4629
53,553,Marquette,0.43685198496615973
54,554,Wheeling-Steubenville,0.45043672641294513
55,555,Syracuse,0.4547526485237332
56,556,Richmond-Petersburg,0.44920609642744974
57,557,Knoxville,0.4645215359072773
58,558,Lima,0.4138605424643411
59,559,Bluefield-Beckley-Oak Hill,0.45653709457224706
60,560,Raleigh-Durham (Fayetvlle),0.4536803179941652
61,561,Jacksonville,0.4597170455766706
62,563,Grand Rapids-Kalmzoo-B.Crk,0.4378617555418552
63,564,Charleston-Huntington,0.4722678151374284
64,565,Elmira (Corning),0.44208288830576536
65,566,Harrisburg-Lncstr-Leb-York,0.42066159553946625
66,567,Greenvll-Spart-Ashevll-And,0.46177750539828755
67,569,Harrisonburg,0.4193011399975589
68,570,Myrtle Beach-Florence,0.4685185130297476
69,571,Ft. Myers-Naples,0.4960018765157945
70,573,Roanoke-Lynchburg,0.4448794219068382
71,574,Johnstown-Altoona-St Colge,0.4395902074917222
72,575,Chattanooga,0.46315217561581157
73,576,Salisbury,0.4556569411754086
74,577,Wilkes Barre-Scranton-Hztn,0.4396468545118786
75,581,Terre Haute,0.4321872669696306
76,582,"Lafayette, In",0.47527918830477683
77,583,Alpena,0.4302815051381771
78,584,Charlottesville,0.44743275111511926
79,588,South Bend-Elkhart,0.44805235123312953
80,592,Gainesville,0.49663166748530085
81,596,Zanesville,0.4581
82,597,Parkersburg,0.46586409796068684
83,598,Clarksburg-Weston,0.44996706669304476
84,600,Corpus Christi,0.4619747936829344
85,602,Chicago,0.4632034067468693
86,603,Joplin-Pittsburg,0.4404139342326885
87,604,Columbia-Jefferson City,0.4398038183636711
88,605,Topeka,0.43022082683863827
89,606,Dothan,0.45849514111154605
90,609,St. Louis,0.4491808890081368
91,610,Rockford,0.44066654150807527
92,611,Rochestr-Mason City-Austin,0.4284010611012121
93,612,Shreveport,0.48343142914449105
94,613,Minneapolis-St. Paul,0.4377385010446816
95,616,Kansas City,0.43698010360550765
96,617,Milwaukee,0.4510923653203598
97,618,Houston,0.478851861947187
98,619,"Springfield, Mo",0.4382861405413247
99,622,New Orleans,0.48820703254419084
100,623,Dallas-Ft. Worth,0.4558534851795069
101,624,Sioux City,0.43275503750916355
102,625,Waco-Temple-Bryan,0.47146198427879843
103,626,Victoria,0.4625
104,627,Wichita Falls & Lawton,0.4503361884704249
105,628,Monroe-El Dorado,0.5004022691146849
106,630,Birmingham (Ann And Tusc),0.46631583526980436
107,631,Ottumwa-Kirksville,0.45954940717765536
108,632,Paducah-Cape Girard-Harsbg,0.46189578992086644
109,633,Odessa-Midland,0.45474091344411394
110,634,Amarillo,0.44319710562804754
111,635,Austin,0.4483192114349832
112,636,Harlingen-Wslco-Brnsvl-Mca,0.4817678525896036
113,637,Cedar Rapids-Wtrlo-Iwc&Dub,0.44364506635726364
114,638,St. Joseph,0.45093176275704017
115,639,"Jackson, Tn",0.4576454199948729
116,640,Memphis,0.47327297442371763
117,641,San Antonio,0.450957816233389
118,642,"Lafayette, La",0.47786224086846263
119,643,Lake Charles,0.46752369785174863
120,644,"Alexandria, La",0.47709019856079504
121,647,Greenwood-Greenville,0.5307239919675973
122,648,Champaign&Sprngfld-Decatur,0.45676701518559293
123,649,Evansville,0.4529223623969038
124,650,Oklahoma City,0.459819168061822
125,651,Lubbock,0.46985267481589954
126,652,Omaha,0.43933001339883876
127,656,Panama City,0.44558522792653804
128,657,Sherman-Ada,0.44792032255764547
129,658,Green Bay-Appleton,0.4394750110946398
130,659,Nashville,0.4583517160626886
131,661,San Angelo,0.4649496155228801
132,662,Abilene-Sweetwater,0.4549407783968701
133,669,Madison,0.430277137202217
134,670,Ft. Smith-Fay-Sprngdl-Rgrs,0.4672894106969074
135,671,Tulsa,0.4593794558481843
136,673,Columbus-Tupelo-West Point,0.46795672666539184
137,675,Peoria-Bloomington,0.44880531519891653
138,676,Duluth-Superior,0.4240946810516817
139,678,Wichita-Hutchinson Plus,0.4377501867179236
140,679,Des Moines-Ames,0.4305163063194281
141,682,Davenport-R.Island-Moline,0.4354267930093826
142,686,Mobile-Pensacola (Ft Walt),0.45576056838329987
143,687,Bismarck-Mnt-Dcknsn(Wlstn),0.4515826502872033
144,691,Huntsville-Decatur (Flor),0.4693424981472429
145,692,Beaumont-Port Arthur,0.465517973436069
146,693,Little Rock-Pine Bluff,0.46666110775378816
147,698,Montgomery-Selma,0.47793984237673054
148,702,La Crosse-Eau Claire,0.43058638289223133
149,705,Wausau-Rhinelander,0.4309806626368357
150,709,Tyler-Longview(Lfkn&Ncgd),0.46327312245309243
151,710,Hattiesburg-Laurel,0.4858240902269743
152,711,Meridian,0.4898196665403562
153,716,Baton Rouge,0.43656004272445087
154,717,Quincy-Hannibal-Keokuk,0.4937770732219545
155,718,"Jackson, Ms",0.47218121496772547
156,722,Lincoln & Hastings-Krny,0.43546249641118817
157,724,Fargo,0.44008016753241147
158,725,Sioux Falls(Mitchell),0.4308560105926792
159,734,Jonesboro,0.46626578382053024
160,736,Bowling Green,0.47283909307938504
161,737,Mankato,0.4095715124416672
162,740,North Platte,0.4362035115668121
163,743,Anchorage,0.4239875079309379
164,744,Honolulu,0.43899026575789046
165,745,Fairbanks,0.4129149355579599
166,746,Biloxi-Gulfport,0.4594921815404971
167,747,Juneau,0.381584682176113
168,749,Laredo,0.46678635027154175
169,751,Denver,0.443020724850097
170,752,Colorado Springs-Pueblo,0.4396861044892261
171,753,Phoenix (Prescott),0.4592266047850405
172,754,Butte-Bozeman,0.4550247913904703
173,755,Great Falls,0.44980832772914203
174,756,Billings,0.4506314409377443
175,757,Boise,0.43443606248024386
176,758,Idaho Fals-Pocatllo(Jcksn),0.442754568648616
177,759,Cheyenne-Scottsbluff,0.4377127533166197
178,760,Twin Falls,0.43234375375087625
179,762,Missoula,0.46177803766117664
180,764,Rapid City,0.45096129480421543
181,765,El Paso (Las Cruces),0.4623096549644171
182,766,Helena,0.4445212462014623
183,767,Casper-Riverton,0.427085534177943
184,770,Salt Lake City,0.4160855995331022
185,771,Yuma-El Centro,0.46016485143091534
186,773,Grand Junction-Montrose,0.4358489658987308
187,789,Tucson (Sierra Vista),0.4636513606138445
188,790,Albuquerque-Santa Fe,0.4643514502225808
189,798,Glendive,0.4233145003004206
190,801,Eugene,0.45976500270917725
191,802,Eureka,0.48080676097269115
192,803,Los Angeles,0.47768511149289133
193,807,San Francisco-Oak-San Jose,0.47289884001553567
194,810,Yakima-Pasco-Rchlnd-Knnwck,0.43094344069000945
195,811,Reno,0.4498894138832794
196,813,Medford-Klamath Falls,0.4628254767354869
197,819,Seattle-Tacoma,0.44030613439311306
198,820,"Portland, Or",0.4392404537797725
199,821,"Bend, Or",0.4526
200,825,San Diego,0.4616
201,828,Monterey-Salinas,0.45793510539355525
202,839,Las Vegas,0.4662969460294259
203,855,Santabarbra-Sanmar-Sanluob,0.49122395373138555
204,862,Sacramnto-Stkton-Modesto,0.45085701522197885
205,866,Fresno-Visalia,0.4625145083166273
206,868,Chico-Redding,0.4806476498379633
207,881,Spokane,0.444257599335824
