Market,DMA Name,gini_index
500,Portland-Auburn,0.4376824605390395
501,New York,0.48946283825827214
502,Binghamton,0.4556907892363741
503,Macon,0.480481202155017
504,Philadelphia,0.4699274712494185
505,Detroit,0.4568436278185733
506,Boston (Manchester),0.46729594684256043
507,Savannah,0.46531927476149515
508,Pittsburgh,0.46193127597463757
509,Ft. Wayne,0.4250195113313599
510,Cleveland-Akron (Canton),0.4655302745436907
511,"Washington, Dc (Hagrstwn)",0.4279121382288829
512,Baltimore,0.44129282962047095
513,Flint-Saginaw-Bay City,0.45611061702013245
514,Buffalo,0.4685106202610705
515,Cincinnati,0.45982127706543613
516,Erie,0.44581229947602785
517,Charlotte,0.4655953248788932
518,Greensboro-H.Point-W.Salem,0.4648489087239026
519,"Charleston, Sc",0.472588269731395
520,Augusta-Aiken,0.4607154130282504
521,Providence-New Bedford,0.46011231590421064
522,"Columbus, Ga (Opelika, Al)",0.4843202399599446
523,Burlington-Plattsburgh,0.4453747285114892
524,Atlanta,0.45332584614585475
525,"Albany, Ga",0.4712511351786957
526,Utica,0.43102062265150176
527,Indianapolis,0.44277535243918836
528,Miami-Ft. Lauderdale,0.5061114939683731
529,Louisville,0.449205245032978
530,Tallahassee-Thomasville,0.4819335958252008
531,"Tri-Cities, Tn-Va",0.4687850066398812
532,Albany-Schenectady-Troy,0.44129883671975373
533,Hartford & New Haven,0.46255181957648245
534,Orlando-Daytona Bch-Melbrn,0.45615430102454585
535,"Columbus, Oh",0.44368085321293194
536,Youngstown,0.45276867266389753
537,Bangor,0.4477445984246492
538,"Rochester, Ny",0.49727653977445035
539,Tampa-St. Pete (Sarasota),0.47330771375545255
540,Traverse City-Cadillac,0.46742572826855516
541,Lexington,0.47323282508529424
542,Dayton,0.43908683292721334
543,Springfield-Holyoke,0.4675803456366663
544,Norfolk-Portsmth-Newpt Nws,0.4346773748034778
545,Greenville-N.Bern-Washngtn,0.44808319722477896
546,"Columbia, Sc",0.4664382953173742
547,Toledo,0.4483477212228001
548,West Palm Beach-Ft. Pierce,0.4791235334173055
549,Watertown,0.438948864037937
550,Wilmington,0.47859365671498144
551,Lansing,0.4472872677182289
552,Presque Isle,0.4629
553,Marquette,0.43685198496615973
554,Wheeling-Steubenville,0.45043672641294513
555,Syracuse,0.4547526485237332
556,Richmond-Petersburg,0.44920609642744974
557,Knoxville,0.4645215359072773
558,Lima,0.4138605424643411
559,Bluefield-Beckley-Oak Hill,0.45653709457224706
560,Raleigh-Durham (Fayetvlle),0.4536803179941652
561,Jacksonville,0.4597170455766706
563,Grand Rapids-Kalmzoo-B.Crk,0.4378617555418552
564,Charleston-Huntington,0.4722678151374284
565,Elmira (Corning),0.44208288830576536
566,Harrisburg-Lncstr-Leb-York,0.42066159553946625
567,Greenvll-Spart-Ashevll-And,0.46177750539828755
569,Harrisonburg,0.4193011399975589
570,Myrtle Beach-Florence,0.4685185130297476
571,Ft. Myers-Naples,0.4960018765157945
573,Roanoke-Lynchburg,0.4448794219068382
574,Johnstown-Altoona-St Colge,0.4395902074917222
575,Chattanooga,0.46315217561581157
576,Salisbury,0.4556569411754086
577,Wilkes Barre-Scranton-Hztn,0.4396468545118786
581,Terre Haute,0.4321872669696306
582,"Lafayette, In",0.47527918830477683
583,Alpena,0.4302815051381771
584,Charlottesville,0.44743275111511926
588,South Bend-Elkhart,0.44805235123312953
592,Gainesville,0.49663166748530085
596,Zanesville,0.4581
597,Parkersburg,0.46586409796068684
598,Clarksburg-Weston,0.44996706669304476
600,Corpus Christi,0.4619747936829344
602,Chicago,0.4632034067468693
603,Joplin-Pittsburg,0.4404139342326885
604,Columbia-Jefferson City,0.4398038183636711
605,Topeka,0.43022082683863827
606,Dothan,0.45849514111154605
609,St. Louis,0.4491808890081368
610,Rockford,0.44066654150807527
611,Rochestr-Mason City-Austin,0.4284010611012121
612,Shreveport,0.48343142914449105
613,Minneapolis-St. Paul,0.4377385010446816
616,Kansas City,0.43698010360550765
617,Milwaukee,0.4510923653203598
618,Houston,0.478851861947187
619,"Springfield, Mo",0.4382861405413247
622,New Orleans,0.48820703254419084
623,Dallas-Ft. Worth,0.4558534851795069
624,Sioux City,0.43275503750916355
625,Waco-Temple-Bryan,0.47146198427879843
626,Victoria,0.4625
627,Wichita Falls & Lawton,0.4503361884704249
628,Monroe-El Dorado,0.5004022691146849
630,Birmingham (Ann And Tusc),0.46631583526980436
631,Ottumwa-Kirksville,0.45954940717765536
632,Paducah-Cape Girard-Harsbg,0.46189578992086644
633,Odessa-Midland,0.45474091344411394
634,Amarillo,0.44319710562804754
635,Austin,0.4483192114349832
636,Harlingen-Wslco-Brnsvl-Mca,0.4817678525896036
637,Cedar Rapids-Wtrlo-Iwc&Dub,0.44364506635726364
638,St. Joseph,0.45093176275704017
639,"Jackson, Tn",0.4576454199948729
