,DMA Code,DMA Name,male_under_5,female_under_5,total_under_5,male_5_to_9,female_5_to_9,total_5_to_9,male_10_to_17,female_10_to_17,total_10_to_17,male_18_to_34,female_18_to_34,total_18_to_34,male_35_to_49,female_35_to_49,total_35_to_49,male_50_to_64,female_50_to_64,total_50_to_64,male_65_and_over,female_65_and_over,total_65_and_over
95,616,Kansas City,83297.0,79418.0,162715.0,85126.0,81745.0,166871.0,141718.0,135629.0,277347.0,300028.0,294986.0,595014.0,242656.0,243898.0,486554.0,235038.0,248503.0,483541.0,170122.0,215229.0,385351.0
96,617,Milwaukee,70880.0,67898.0,138778.0,73617.0,70712.0,144329.0,125638.0,120362.0,246000.0,263076.0,257168.0,520244.0,215558.0,218485.0,434043.0,234024.0,243649.0,477673.0,164458.0,206806.0,371264.0
97,618,Houston,267053.0,258409.0,525462.0,270839.0,259571.0,530410.0,446846.0,430909.0,877755.0,894302.0,870086.0,1764388.0,763759.0,761368.0,1525127.0,630164.0,649130.0,1279294.0,379783.0,462941.0,842724.0
98,619,"Springfield, Mo",49632.0,46539.0,96171.0,50814.0,46251.0,97065.0,84411.0,82692.0,167103.0,188447.0,174060.0,362507.0,142140.0,141634.0,283774.0,153977.0,162306.0,316283.0,138613.0,165308.0,303921.0
99,622,New Orleans,57909.0,55379.0,113288.0,55044.0,55526.0,110570.0,94485.0,89282.0,183767.0,198989.0,206555.0,405544.0,163669.0,173516.0,337185.0,171916.0,186922.0,358838.0,126519.0,159571.0,286090.0
100,623,Dallas-Ft. Worth,282553.0,269123.0,551676.0,288579.0,282810.0,571389.0,493703.0,470557.0,964260.0,968204.0,964829.0,1933033.0,830979.0,853428.0,1684407.0,716072.0,740751.0,1456823.0,430034.0,542048.0,972082.0
101,624,Sioux City,112679.0,109351.0,222030.0,118352.0,111168.0,229520.0,190409.0,184947.0,375356.0,408264.0,387898.0,796162.0,319109.0,310072.0,629181.0,339787.0,344603.0,684390.0,271828.0,335467.0,607295.0
102,625,Waco-Temple-Bryan,523840.0,502691.0,1026531.0,518938.0,501265.0,1020203.0,860774.0,829646.0,1690420.0,1916619.0,1833452.0,3750071.0,1484028.0,1479923.0,2963951.0,1226855.0,1282952.0,2509807.0,786880.0,977729.0,1764609.0
103,626,Victoria,3274.0,3113.0,6387.0,2968.0,3330.0,6298.0,5679.0,4989.0,10668.0,10672.0,10333.0,21005.0,8044.0,8358.0,16402.0,7964.0,8473.0,16437.0,6543.0,8304.0,14847.0
104,627,Wichita Falls & Lawton,13535.0,13222.0,26757.0,13715.0,13849.0,27564.0,21764.0,21017.0,42781.0,58421.0,47056.0,105477.0,37199.0,35309.0,72508.0,38349.0,39322.0,77671.0,30479.0,37455.0,67934.0
105,628,Monroe-El Dorado,14828.0,14754.0,29582.0,15422.0,14926.0,30348.0,25249.0,24135.0,49384.0,57383.0,52588.0,109971.0,40550.0,41489.0,82039.0,41907.0,45131.0,87038.0,33731.0,44080.0,77811.0
106,630,Birmingham (Ann And Tusc),121436.0,116557.0,237993.0,122467.0,116654.0,239121.0,208805.0,200038.0,408843.0,434307.0,439970.0,874277.0,359966.0,383234.0,743200.0,381955.0,414937.0,796892.0,298509.0,387368.0,685877.0
