,DMA Code,DMA Name,universe,owner_occupied,renter_occupied
105,628,Monroe-El Dorado,438617.0,289378.0,149239.0
106,630,Birmingham (Ann And Tusc),3894046.0,2812689.0,1081357.0
107,631,Ottumwa-Kirksville,120110.0,86520.0,33590.0
108,632,Paducah-Cape Girard-Harsbg,1999809.0,1401409.0,598400.0
109,633,Odessa-Midland,480652.0,339545.0,141107.0
110,634,Amarillo,524259.0,348403.0,175856.0
111,635,Austin,2282909.0,1461980.0,820929.0
112,636,Harlingen-Wslco-Brnsvl-Mca,1354690.0,943451.0,411239.0
113,637,Cedar Rapids-Wtrlo-Iwc&Dub,877851.0,656071.0,221780.0
114,638,St. Joseph,151477.0,101653.0,49824.0
115,639,"Jackson, Tn",237567.0,163099.0,74468.0
116,640,Memphis,6985593.0,4668765.0,2316828.0
117,641,San Antonio,8540755.0,5961845.0,2578910.0
118,642,"Lafayette, La",596012.0,419728.0,176284.0
119,643,Lake Charles,264590.0,191486.0,73104.0
120,644,"Alexandria, La",228968.0,149162.0,79806.0
121,647,Greenwood-Greenville,166527.0,96735.0,69792.0
122,648,Champaign&Sprngfld-Decatur,907394.0,635590.0,271804.0
123,649,Evansville,1749407.0,1292752.0,456655.0
124,650,Oklahoma City,3254337.0,2154111.0,1100226.0
125,651,Lubbock,450486.0,283163.0,167323.0
126,652,Omaha,1126661.0,794873.0,331788.0
127,656,Panama City,368770.0,262281.0,106489.0
128,657,Sherman-Ada,342707.0,238122.0,104585.0
129,658,Green Bay-Appleton,4675654.0,3271882.0,1403772.0
130,659,Nashville,4717960.0,3155070.0,1562890.0
131,661,San Angelo,2319323.0,1592410.0,726913.0
132,662,Abilene-Sweetwater,291200.0,202232.0,88968.0
133,669,Madison,988557.0,680819.0,307738.0
134,670,Ft. Smith-Fay-Sprngdl-Rgrs,867901.0,572367.0,295534.0
135,671,Tulsa,2052909.0,1422660.0,630249.0
136,673,Columbus-Tupelo-West Point,478151.0,336783.0,141368.0
137,675,Peoria-Bloomington,1719023.0,1268683.0,450340.0
138,676,Duluth-Superior,1102492.0,894766.0,207726.0
139,678,Wichita-Hutchinson Plus,3975833.0,2767307.0,1208526.0
140,679,Des Moines-Ames,1142629.0,837197.0,305432.0
141,682,Davenport-R.Island-Moline,736232.0,549129.0,187103.0
142,686,Mobile-Pensacola (Ft Walt),1435513.0,1006328.0,429185.0
143,687,Bismarck-Mnt-Dcknsn(Wlstn),1485631.0,1015118.0,470513.0
144,691,Huntsville-Decatur (Flor),3298623.0,2322352.0,976271.0
145,692,Beaumont-Port Arthur,443994.0,314141.0,129853.0
146,693,Little Rock-Pine Bluff,1424821.0,976580.0,448241.0
147,698,Montgomery-Selma,603119.0,406493.0,196626.0
148,702,La Crosse-Eau Claire,540285.0,397598.0,142687.0
149,705,Wausau-Rhinelander,437012.0,339101.0,97911.0
150,709,Tyler-Longview(Lfkn&Ncgd),731670.0,508937.0,222733.0
151,710,Hattiesburg-Laurel,291533.0,206280.0,85253.0
152,711,Meridian,170355.0,122342.0,48013.0
153,716,Baton Rouge,415688.0,334999.0,80689.0
154,717,Quincy-Hannibal-Keokuk,6164224.0,3930182.0,2234042.0
155,718,"Jackson, Ms",2129424.0,1473913.0,655511.0
156,722,Lincoln & Hastings-Krny,715762.0,500366.0,215396.0
157,724,Fargo,961569.0,698225.0,263344.0
158,725,Sioux Falls(Mitchell),1497032.0,1071235.0,425797.0
159,734,Jonesboro,214978.0,139240.0,75738.0
160,736,Bowling Green,219805.0,143960.0,75845.0
161,737,Mankato,303444.0,236672.0,66772.0
162,740,North Platte,1908401.0,1337580.0,570821.0
163,743,Anchorage,545095.0,373067.0,172028.0
164,744,Honolulu,1376518.0,861232.0,515286.0
165,745,Fairbanks,100821.0,62935.0,37886.0
166,746,Biloxi-Gulfport,360235.0,234454.0,125781.0
167,747,Juneau,32678.0,22459.0,10219.0
168,749,Laredo,285954.0,187938.0,98016.0
169,751,Denver,4489645.0,3064938.0,1424707.0
170,752,Colorado Springs-Pueblo,973377.0,663214.0,310163.0
171,753,Phoenix (Prescott),5566394.0,3664794.0,1901600.0
172,754,Butte-Bozeman,182656.0,125908.0,56748.0
173,755,Great Falls,162576.0,110004.0,52572.0
174,756,Billings,283257.0,207518.0,75739.0
175,757,Boise,822611.0,595498.0,227113.0
176,758,Idaho Fals-Pocatllo(Jcksn),388702.0,280077.0,108625.0
177,759,Cheyenne-Scottsbluff,149384.0,110508.0,38876.0
178,760,Twin Falls,196156.0,137756.0,58400.0
179,762,Missoula,308451.0,220633.0,87818.0
180,764,Rapid City,260121.0,187543.0,72578.0
181,765,El Paso (Las Cruces),1652941.0,1148918.0,504023.0
182,766,Helena,313181.0,232651.0,80530.0
183,767,Casper-Riverton,143284.0,104900.0,38384.0
184,770,Salt Lake City,3281228.0,2424681.0,856547.0
185,771,Yuma-El Centro,376313.0,242060.0,134253.0
186,773,Grand Junction-Montrose,191480.0,135725.0,55755.0
187,789,Tucson (Sierra Vista),1173510.0,778522.0,394988.0
188,790,Albuquerque-Santa Fe,2102286.0,1482688.0,619598.0
189,798,Glendive,9524.0,6508.0,3016.0
190,801,Eugene,627394.0,396596.0,230798.0
191,802,Eureka,156949.0,94211.0,62738.0
192,803,Los Angeles,24471291.0,13355702.0,11115589.0
193,807,San Francisco-Oak-San Jose,7289467.0,4260093.0,3029374.0
194,810,Yakima-Pasco-Rchlnd-Knnwck,722160.0,483995.0,238165.0
195,811,Reno,710013.0,447880.0,262133.0
196,813,Medford-Klamath Falls,440642.0,294912.0,145730.0
197,819,Seattle-Tacoma,5303338.0,3475692.0,1827646.0
