,DMA Code,DMA Name,universe,afghan,albanian,alsatian,american,arab,egyptian,iraqi,jordanian,lebanese,moroccan,palestinian,syrian,all_arab,other_arab,armenian,assyrian_chaldean_syriac,australian,austrian,basque,belgian,brazilian,british,bulgarian,cajun,canadian,carpatho_rusyn,celtic,croatian,cypriot,czech,czechoslovakian,danish,dutch,eastern_european,english,estonian,european,finnish,french_except_basque,french_canadian,german,german_russian,greek,guyanese,hungarian,icelander,iranian,irish,israeli,italian,latvian,lithuanian,luxemburger,macedonian,maltese,new_zealander,northern_european,norwegian,pennsylvania_german,polish,portuguese,romanian,russian,scandinavian,scotch-irish,scottish,serbian,slavic,slovak,slovene,soviet_union,subsaharan_african,cape_verdean,ethiopian,ghanaian,kenyan,liberian,nigerian,senegalese,sierra_leonean,somali,south_african,sudanese,ugandan,zimbabwean,african,other_subsaharan_african,swedish,swiss,turkish,ukranian,welsh,west_indian_except_hispanic_groups,bahamian,barbadian,belizean,bermudan,british_west_indian,dutch_west_indian,haitian,jamaican,trinidadian_and_tobagonian,us_virgin_islander,west_indian,other_west_indian,yugoslavian,other_groups
31,531,"Tri-Cities, Tn-Va",448779.0,0.0,70.0,0.0,179636.0,682.0,142.0,10.0,40.0,176.0,23.0,5.0,19.0,191.0,76.0,72.0,24.0,27.0,178.0,0.0,55.0,39.0,2329.0,14.0,0.0,193.0,0.0,187.0,66.0,0.0,148.0,102.0,66.0,1381.0,477.0,56128.0,19.0,9766.0,260.0,2074.0,391.0,26415.0,119.0,175.0,0.0,347.0,7.0,225.0,35533.0,27.0,5245.0,0.0,31.0,0.0,45.0,0.0,36.0,453.0,957.0,35.0,1805.0,177.0,196.0,150.0,520.0,13584.0,7706.0,286.0,42.0,43.0,20.0,0.0,1542.0,48.0,230.0,12.0,6.0,31.0,365.0,0.0,0.0,0.0,12.0,0.0,13.0,6.0,508.0,311.0,745.0,192.0,148.0,198.0,1266.0,246.0,111.0,0.0,0.0,0.0,13.0,0.0,4.0,66.0,3.0,0.0,49.0,0.0,32.0,95847.0
32,532,Albany-Schenectady-Troy,584376.0,1442.0,1102.0,0.0,69545.0,4344.0,701.0,148.0,139.0,1254.0,211.0,145.0,422.0,194.0,1130.0,1227.0,17.0,51.0,752.0,41.0,313.0,416.0,2980.0,76.0,37.0,1543.0,37.0,125.0,277.0,17.0,959.0,580.0,989.0,6978.0,3535.0,30213.0,111.0,12300.0,571.0,13784.0,11141.0,41291.0,64.0,2493.0,4056.0,1373.0,29.0,468.0,67509.0,319.0,69003.0,341.0,1016.0,28.0,41.0,8.0,5.0,1110.0,2056.0,552.0,22609.0,766.0,1015.0,4600.0,964.0,3188.0,5948.0,189.0,250.0,1242.0,102.0,7.0,6240.0,30.0,202.0,668.0,151.0,17.0,588.0,401.0,15.0,30.0,502.0,561.0,152.0,15.0,2352.0,556.0,2381.0,948.0,507.0,3526.0,1581.0,7450.0,142.0,211.0,53.0,0.0,375.0,0.0,1119.0,2681.0,516.0,24.0,2307.0,22.0,431.0,163167.0
33,533,Hartford & New Haven,1318571.0,964.0,8228.0,30.0,64608.0,10630.0,1395.0,256.0,419.0,2028.0,1743.0,396.0,908.0,1422.0,2063.0,1201.0,192.0,172.0,1515.0,67.0,401.0,5115.0,5728.0,411.0,100.0,4065.0,38.0,202.0,800.0,11.0,1278.0,651.0,1164.0,3377.0,6829.0,49578.0,243.0,18824.0,1123.0,30274.0,32516.0,40084.0,24.0,8044.0,2860.0,3985.0,38.0,1093.0,95235.0,751.0,167132.0,610.0,5377.0,44.0,146.0,31.0,56.0,2214.0,3203.0,130.0,68666.0,13995.0,1414.0,9024.0,1621.0,3652.0,9632.0,369.0,365.0,2485.0,137.0,28.0,19666.0,1614.0,986.0,2899.0,308.0,497.0,2016.0,275.0,35.0,251.0,251.0,337.0,173.0,0.0,8508.0,1516.0,7175.0,888.0,1952.0,5920.0,1305.0,43386.0,65.0,592.0,95.0,12.0,867.0,18.0,7227.0,30579.0,1885.0,42.0,1899.0,105.0,2928.0,542571.0
34,534,Orlando-Daytona Bch-Melbrn,2386852.0,107.0,754.0,51.0,268199.0,19562.0,3666.0,1149.0,305.0,2858.0,2965.0,2249.0,1045.0,1960.0,3365.0,1077.0,128.0,444.0,2328.0,292.0,990.0,16301.0,15513.0,1499.0,286.0,6475.0,39.0,278.0,1295.0,49.0,2991.0,996.0,2524.0,9277.0,5773.0,111398.0,275.0,39627.0,1454.0,19062.0,12043.0,118554.0,66.0,5455.0,9318.0,6744.0,416.0,2189.0,112967.0,1031.0,102820.0,351.0,2620.0,46.0,106.0,112.0,96.0,2287.0,9340.0,1259.0,31875.0,10130.0,2572.0,10192.0,3647.0,13632.0,20818.0,782.0,664.0,2370.0,1064.0,32.0,22273.0,245.0,898.0,115.0,218.0,230.0,1797.0,0.0,0.0,95.0,578.0,255.0,156.0,161.0,15737.0,1788.0,7209.0,2203.0,1957.0,4523.0,5360.0,116438.0,2224.0,1987.0,445.0,138.0,2460.0,138.0,53743.0,43041.0,5486.0,2007.0,4684.0,85.0,895.0,1211352.0
35,535,"Columbus, Oh",1239328.0,260.0,306.0,47.0,143573.0,13091.0,1356.0,1235.0,1138.0,1658.0,1384.0,1824.0,596.0,1216.0,2684.0,317.0,0.0,255.0,695.0,0.0,364.0,826.0,6410.0,246.0,7.0,1086.0,13.0,80.0,758.0,10.0,1663.0,862.0,875.0,6331.0,4698.0,79047.0,71.0,35269.0,567.0,6647.0,1816.0,182072.0,20.0,3835.0,62.0,6005.0,80.0,1020.0,80276.0,305.0,42263.0,179.0,925.0,13.0,1034.0,80.0,96.0,1265.0,2927.0,3138.0,15624.0,363.0,1185.0,3496.0,1957.0,9875.0,15883.0,406.0,462.0,2606.0,609.0,0.0,50367.0,9.0,5240.0,4511.0,883.0,1445.0,2179.0,413.0,1062.0,14316.0,56.0,494.0,120.0,34.0,17136.0,2469.0,2636.0,2919.0,933.0,2784.0,6761.0,2955.0,57.0,64.0,13.0,93.0,62.0,0.0,943.0,1041.0,301.0,0.0,345.0,36.0,618.0,485104.0
36,536,Youngstown,295655.0,0.0,35.0,0.0,69609.0,2260.0,140.0,43.0,318.0,541.0,64.0,536.0,50.0,163.0,405.0,41.0,0.0,5.0,321.0,0.0,78.0,91.0,831.0,95.0,0.0,243.0,24.0,84.0,1926.0,0.0,374.0,614.0,71.0,1057.0,903.0,14556.0,0.0,4240.0,412.0,948.0,324.0,32653.0,0.0,3019.0,0.0,3180.0,0.0,135.0,18849.0,4.0,30075.0,79.0,320.0,0.0,51.0,0.0,0.0,182.0,192.0,3565.0,7815.0,122.0,1238.0,796.0,170.0,2873.0,2866.0,414.0,405.0,7478.0,446.0,0.0,3462.0,0.0,0.0,23.0,37.0,0.0,19.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3366.0,12.0,1237.0,841.0,33.0,1294.0,1969.0,355.0,0.0,4.0,0.0,0.0,0.0,0.0,44.0,258.0,20.0,0.0,29.0,0.0,80.0,70315.0
37,537,Bangor,158016.0,0.0,49.0,0.0,25884.0,428.0,59.0,11.0,6.0,146.0,0.0,0.0,19.0,169.0,18.0,52.0,0.0,77.0,93.0,64.0,21.0,28.0,1859.0,40.0,112.0,1953.0,0.0,132.0,5.0,0.0,69.0,35.0,150.0,494.0,409.0,26795.0,3.0,3835.0,333.0,13292.0,9641.0,6486.0,0.0,405.0,1.0,283.0,0.0,219.0,16125.0,0.0,4253.0,38.0,153.0,10.0,0.0,0.0,11.0,289.0,670.0,148.0,2253.0,810.0,72.0,366.0,617.0,2395.0,5558.0,5.0,32.0,146.0,3.0,0.0,312.0,5.0,18.0,20.0,1.0,0.0,28.0,0.0,0.0,43.0,10.0,0.0,0.0,0.0,168.0,19.0,1474.0,80.0,10.0,150.0,564.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,238.0,18.0,0.0,12.0,59.0,20.0,27723.0
38,538,"Rochester, Ny",6645670.0,4119.0,31641.0,76.0,386313.0,82007.0,21417.0,1772.0,3080.0,8362.0,7832.0,3105.0,6285.0,9170.0,20984.0,7814.0,352.0,3543.0,7988.0,432.0,2583.0,11582.0,19655.0,3354.0,199.0,9280.0,73.0,363.0,6019.0,1058.0,5383.0,2920.0,3978.0,21952.0,58285.0,111639.0,981.0,94019.0,2492.0,35970.0,15845.0,166450.0,128.0,45857.0,102031.0,37002.0,266.0,10440.0,254260.0,13539.0,483255.0,2241.0,6521.0,112.0,5809.0,1504.0,472.0,5719.0,9537.0,3735.0,136181.0,12906.0,19206.0,111154.0,3386.0,9786.0,21063.0,4066.0,3444.0,6515.0,924.0,644.0,108217.0,468.0,4620.0,9783.0,1301.0,2377.0,21611.0,1855.0,385.0,1917.0,1853.0,2018.0,377.0,269.0,48830.0,10553.0,14290.0,5680.0,12475.0,57148.0,5157.0,450894.0,764.0,16517.0,3931.0,60.0,34061.0,234.0,116272.0,169197.0,56336.0,566.0,52173.0,783.0,5793.0,3575948.0
39,539,Tampa-St. Pete (Sarasota),2753082.0,912.0,4499.0,0.0,430728.0,22209.0,4856.0,699.0,1850.0,4107.0,2585.0,1947.0,1300.0,2193.0,2672.0,1198.0,121.0,973.0,2727.0,178.0,1661.0,6679.0,18679.0,2173.0,290.0,12776.0,70.0,463.0,2294.0,120.0,4813.0,2328.0,3448.0,14150.0,7388.0,150953.0,382.0,49022.0,2265.0,24659.0,16905.0,179829.0,192.0,16061.0,2933.0,9383.0,194.0,2097.0,136608.0,665.0,133206.0,580.0,4222.0,147.0,541.0,339.0,329.0,3519.0,11266.0,1628.0,51338.0,9171.0,3562.0,14455.0,3598.0,18768.0,28453.0,3510.0,718.0,3688.0,690.0,16.0,20331.0,509.0,1873.0,832.0,52.0,503.0,3131.0,25.0,145.0,9.0,1028.0,90.0,243.0,139.0,10386.0,1366.0,11458.0,2433.0,1932.0,7319.0,6860.0,61547.0,1621.0,835.0,787.0,52.0,2378.0,265.0,25739.0,20972.0,3592.0,984.0,4049.0,273.0,4188.0,1210245.0
40,540,Traverse City-Cadillac,2216027.0,485.0,4536.0,8.0,204247.0,99230.0,1219.0,9222.0,2731.0,33167.0,1699.0,2860.0,2381.0,23098.0,22853.0,2299.0,1129.0,171.0,1218.0,38.0,3148.0,851.0,7356.0,615.0,55.0,5561.0,131.0,367.0,1743.0,71.0,4373.0,2325.0,2985.0,31737.0,6442.0,96101.0,69.0,52962.0,12110.0,20974.0,19652.0,197339.0,52.0,5899.0,95.0,11090.0,90.0,1580.0,87847.0,672.0,48348.0,535.0,3205.0,52.0,2047.0,2438.0,49.0,3453.0,9474.0,2510.0,100565.0,486.0,5362.0,5236.0,3031.0,9367.0,22148.0,753.0,664.0,2743.0,472.0,0.0,30436.0,13.0,1166.0,456.0,416.0,278.0,3225.0,142.0,55.0,268.0,184.0,947.0,3.0,145.0,22103.0,1035.0,11592.0,2049.0,718.0,5048.0,3318.0,4292.0,271.0,34.0,79.0,8.0,82.0,4.0,576.0,2491.0,391.0,37.0,319.0,0.0,1575.0,1046408.0
